Frame,RtouchPos_X,RtouchPos_Y,RtouchPos_Z,RtouchRot_W,RtouchRot_X,RtouchRot_Y,RtouchRot_Z,LtouchPos_X,LtouchPos_Y,LtouchPos_Z,LtouchRot_W,LtouchRot_X,LtouchRot_Y,LtouchRot_Z,PlayerPos_X,PlayerPos_Y,PlayerPos_Z,PlayerRot_W,PlayerRot_X,PlayerRot_Y,PlayerRot_Z,Right_Accel_X,Right_Accel_Y,Right_Accel_Z,Left_Accel_X,Left_Accel_Y,Left_Accel_Z,Camera_Pos_X,Camera_Pos_Y,Camera_Pos_Z,Camera_Rot_W,Camera_Rot_X,Camera_Rot_Y,Camera_Rot_Z,Right_Angular_Accel_X,Right_Angular_Accel_Y,Right_Angular_Accel_Z,Left_Angular_Accel_X,Left_Angular_Accel_Y,Left_Angular_Accel_Z,Right_Vel_X,Right_Vel_Y,Right_Vel_Z,Left_Vel_X,Left_Vel_Y,Left_Vel_Z,Right_Angular_Vel_X,Right_Angular_Vel_Y,Right_Angular_Vel_Z,Left_Angular_Vel_X,Left_Angular_Vel_Y,Left_Angular_Vel_Z,Primary Hand Trigger,Secondary Hand Trigger
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-3.48086,3.146747,5.511024,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-3.48086,3.090241,5.511024,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,0.3717113,-0.831417,-0.1747149,-0.7717926,-0.5274352,0.2635124,-0.2381377,-0.2074488,-0.6540365,-0.5396226,-0.6422487,-0.1640355,0.6730227,-0.1640355,-3.402129,1.583416,5.12323,-0.6370132,-0.1257619,0.7538741,-0.1003595,2.894984,-3.581876,1.373025,1.561956,-3.35782,1.491721,0.07873055,-0.011584,-0.3877935,-0.6370132,-0.1257619,0.7538741,-0.1003595,31.4872,31.4872,31.4872,3.929735,2.379529,-32.67082,-0.2286033,-0.2286033,-0.2286033,0.09583841,0.3468626,-0.5318686,-1.03563,-1.03563,-1.03563,-1.318689,1.161077,1.933525,False,False
4,0.3670329,-0.8038245,-0.1609966,-0.805796,-0.4869042,0.2884514,-0.1743928,-0.1851552,-0.6382731,-0.5960571,-0.6856539,-0.1641368,0.659431,-0.1641368,-3.402129,1.584215,5.123999,-0.6365916,-0.1248311,0.7546945,-0.09800377,2.257329,0.201956,0.7464103,-0.8417684,-1.196938,-0.8636199,0.07873067,-0.01078457,-0.3870247,-0.6365916,-0.1248311,0.7546944,-0.09800376,0.433532,0.433532,0.433532,-4.981937,-40.15709,-0.1076271,0.1064585,0.1064585,0.1064585,0.2067855,-0.09258041,-0.3853957,-1.28292,-1.28292,-1.28292,-0.8470315,-0.7685273,-2.793784,False,False
5,0.3731295,-0.7947307,-0.1542959,-0.8219882,-0.4641133,0.2833749,-0.1692133,-0.1766772,-0.6401042,-0.6122798,-0.6851748,-0.1941337,0.6714233,-0.1941337,-3.402025,1.58569,5.125852,-0.6368329,-0.1227904,0.7554175,-0.09333185,2.290198,0.767174,0.6867415,-0.591888,0.099693,-1.203615,0.07883444,-0.00931012,-0.3851717,-0.6368329,-0.1227904,0.7554175,-0.09333185,-2.556804,-2.556804,-2.556804,-4.199628,-21.68526,12.75403,0.1486987,0.1486987,0.1486987,0.1967426,-0.1010265,-0.4063664,-1.34676,-1.34676,-1.34676,-0.9315581,-1.299945,-2.629173,False,False
6,0.3757096,-0.7920156,-0.1522302,-0.8266305,-0.4587997,0.2812801,-0.1645185,-0.1743995,-0.6406309,-0.6170191,-0.6823847,-0.2008357,0.6764278,-0.2008357,-3.401903,1.58614,5.126313,-0.6371257,-0.1220177,0.7554194,-0.09232672,2.401497,0.5741483,0.4366285,-0.5777736,0.01612172,-1.136064,0.07895691,-0.008860065,-0.3847109,-0.6371257,-0.1220177,0.7554193,-0.09232672,-1.478054,-1.478054,-1.478054,-0.5998107,-11.16562,13.1402,0.1734025,0.1734025,0.1734025,0.192635,-0.1008676,-0.4180922,-1.350282,-1.350282,-1.350282,-0.9470975,-1.432462,-2.501175,False,False
7,0.3787569,-0.7893175,-0.1501911,-0.8310615,-0.4543371,0.2791204,-0.1581337,-0.1722395,-0.6413236,-0.6219162,-0.6794084,-0.2073684,0.6811126,-0.2073684,-3.401748,1.586611,5.126804,-0.6371973,-0.1211218,0.7556394,-0.09120527,2.349003,0.09291764,0.06625459,-0.9333642,-0.4254195,-0.9674921,0.07911201,-0.008389239,-0.3842192,-0.6371972,-0.1211218,0.7556394,-0.09120526,2.361189,2.361189,2.361189,1.861534,-4.490349,7.271964,0.2028327,0.2028327,0.2028327,0.1851977,-0.1048562,-0.4307865,-1.328089,-1.328089,-1.328089,-0.9312836,-1.503458,-2.392075,False,False
8,0.381949,-0.7867244,-0.1482007,-0.835299,-0.4499928,0.276715,-0.152351,-0.1702851,-0.6420962,-0.6267945,-0.6766071,-0.2142241,0.6851588,-0.2142241,-3.401608,1.587097,5.127297,-0.6374821,-0.1201949,0.7556787,-0.09010922,2.339029,-0.2766876,0.04965938,-1.15701,-0.4292248,-0.7629625,0.07925165,-0.007902347,-0.3837261,-0.637482,-0.1201949,0.7556786,-0.09010922,3.251625,3.251625,3.251625,3.160528,-1.326013,4.671652,0.2266945,0.2266945,0.2266945,0.1755455,-0.1097326,-0.4393161,-1.286698,-1.286698,-1.286698,-0.9014896,-1.521134,-2.344014,False,False
9,0.3857441,-0.7843698,-0.1462658,-0.8392123,-0.4463863,0.2732052,-0.147719,-0.1685773,-0.6429987,-0.6317316,-0.6737655,-0.2215471,0.6887686,-0.2215471,-3.40144,1.587614,5.127752,-0.6380336,-0.1194388,0.7555023,-0.08867953,2.37164,-0.8826548,-0.1668322,-1.113143,-0.3760405,-0.4206935,0.07941946,-0.007386124,-0.3832714,-0.6380334,-0.1194388,0.7555022,-0.08867951,9.893344,9.893344,9.893344,1.075191,-0.6690757,-3.9319,0.2655136,0.2655136,0.2655136,0.1587825,-0.1168812,-0.4484441,-1.163108,-1.163108,-1.163108,-0.8647773,-1.524051,-2.356064,False,False
10,0.3893249,-0.7820765,-0.1443287,-0.8428388,-0.4426419,0.2699338,-0.1443144,-0.1668839,-0.6437899,-0.6365224,-0.6709722,-0.2293436,0.6919963,-0.2293436,-3.401294,1.588086,5.128319,-0.6384248,-0.1186775,0.7554993,-0.08689214,2.156562,-1.002314,-0.3464678,-1.071063,-0.2063588,-0.3714781,0.07956606,-0.006913491,-0.3827044,-0.6384248,-0.1186775,0.7554993,-0.08689214,11.90819,11.90819,11.90819,-0.3473769,-0.8267708,-10.55003,0.283788,0.283788,0.283788,0.1511889,-0.119614,-0.4516025,-1.069025,-1.069025,-1.069025,-0.8627723,-1.527924,-2.433458,False,False
