Frame,RtouchPos_X,RtouchPos_Y,RtouchPos_Z,RtouchRot_W,RtouchRot_X,RtouchRot_Y,RtouchRot_Z,LtouchPos_X,LtouchPos_Y,LtouchPos_Z,LtouchRot_W,LtouchRot_X,LtouchRot_Y,LtouchRot_Z,PlayerPos_X,PlayerPos_Y,PlayerPos_Z,PlayerRot_W,PlayerRot_X,PlayerRot_Y,PlayerRot_Z,Right_Accel_X,Right_Accel_Y,Right_Accel_Z,Left_Accel_X,Left_Accel_Y,Left_Accel_Z,Camera_Pos_X,Camera_Pos_Y,Camera_Pos_Z,Camera_Rot_W,Camera_Rot_X,Camera_Rot_Y,Camera_Rot_Z,Right_Angular_Accel_X,Right_Angular_Accel_Y,Right_Angular_Accel_Z,Left_Angular_Accel_X,Left_Angular_Accel_Y,Left_Angular_Accel_Z,Right_Vel_X,Right_Vel_Y,Right_Vel_Z,Left_Vel_X,Left_Vel_Y,Left_Vel_Z,Right_Angular_Vel_X,Right_Angular_Vel_Y,Right_Angular_Vel_Z,Left_Angular_Vel_X,Left_Angular_Vel_Y,Left_Angular_Vel_Z,Primary Hand Trigger,Secondary Hand Trigger
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-3.48086,3.146747,5.511024,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-3.48086,3.090241,5.511024,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,0.01225957,-0.9297584,0.8055838,0.7104871,0.1570394,-0.2638899,0.6331735,-0.2662803,-0.9295313,0.537055,-0.7777789,-0.5546727,0.2410767,-0.5546727,-3.591319,1.462032,6.178913,-0.974972,0.02449384,0.219809,-0.02266689,-0.3497253,0.03923668,-0.01761079,-0.03626759,-0.06557634,-0.3823317,-0.1104595,-0.1329684,0.6678892,-0.974972,0.02449384,0.219809,-0.02266689,-1.079927,-1.079927,-1.079927,0.760554,-0.1331198,1.52117,-0.146893,-0.146893,-0.146893,-0.0303442,0.0001839543,-0.1720017,-0.5267841,-0.5267841,-0.5267841,0.3041264,-0.2797521,0.4162804,False,False
4,0.000124101,-0.9304809,0.8055823,0.7034755,0.1417265,-0.2840712,0.6358769,-0.2688363,-0.9298831,0.5216144,-0.7702857,-0.5590436,0.2615296,-0.5590436,-3.591923,1.461934,6.17865,-0.9745661,0.02352688,0.2216725,-0.0229953,-0.2419895,0.2314474,0.255831,0.3597483,-0.2927388,-0.4064739,-0.1110631,-0.1330658,0.6676262,-0.974566,0.02352688,0.2216725,-0.0229953,-0.9036758,-0.9036758,-0.9036758,1.994532,0.6439452,-2.88206,-0.1718865,-0.1718865,-0.1718865,-0.01691093,-0.01403448,-0.2026084,-0.5855191,-0.5855191,-0.5855191,0.3953144,-0.259155,0.4299019,False,False
5,-0.006285308,-0.930465,0.8059384,0.7003387,0.1333836,-0.2932373,0.6369823,-0.2695259,-0.9306396,0.5128734,-0.7656863,-0.5624657,0.2710083,-0.5624657,-3.592535,1.461645,6.178228,-0.9747674,0.02155871,0.2208957,-0.02385378,-0.249155,0.249512,0.2466538,0.4147348,-0.3221426,-0.3577819,-0.111675,-0.1333549,0.6672048,-0.9747673,0.02155871,0.2208957,-0.02385378,-0.6953193,-0.6953193,-0.6953193,0.7030567,2.179975,-2.202411,-0.1763085,-0.1763085,-0.1763085,-0.009421751,-0.01969345,-0.2092878,-0.583185,-0.583185,-0.583185,0.4154217,-0.2285463,0.3987522,False,False
6,-0.008268526,-0.9303677,0.8061333,0.6996603,0.1307512,-0.2957792,0.6370983,-0.2695317,-0.930982,0.5103413,-0.7643077,-0.5636611,0.2732558,-0.5636611,-3.592514,1.461583,6.178267,-0.9750103,0.02100442,0.2198216,-0.02433379,-0.2638175,0.1921085,0.2759324,0.5467588,-0.3046576,-0.2923036,-0.1116541,-0.1334175,0.6672438,-0.9750103,0.02100442,0.2198216,-0.02433379,-0.9149741,-0.9149741,-0.9149741,0.02637546,0.918954,-1.837821,-0.1794743,-0.1794743,-0.1794743,-0.003464472,-0.02354491,-0.2131923,-0.5904756,-0.5904756,-0.5904756,0.4238849,-0.2138212,0.3740721,False,False
7,-0.01026902,-0.9302674,0.8063468,0.698951,0.1280622,-0.2982092,0.6372902,-0.26949,-0.9313531,0.5077948,-0.762922,-0.564945,0.2753244,-0.564945,-3.592537,1.461543,6.178285,-0.9753549,0.02037417,0.2183337,-0.02446504,-0.1986398,0.1996322,0.2775838,0.5146114,-0.303974,-0.2579229,-0.1116775,-0.1334566,0.6672609,-0.9753547,0.02037416,0.2183337,-0.02446504,-0.1551025,-0.1551025,-0.1551025,0.5595981,1.463986,-2.276426,-0.1818222,-0.1818222,-0.1818222,0.001720625,-0.02663458,-0.216142,-0.5904413,-0.5904413,-0.5904413,0.4333932,-0.1937705,0.3526045,False,False
8,-0.01227585,-0.9301578,0.8065866,0.6983246,0.1254166,-0.300529,0.6374134,-0.2693983,-0.9317455,0.5052299,-0.7614812,-0.5663135,0.2772871,-0.5663135,-3.592595,1.461472,6.178277,-0.9757421,0.01991763,0.2166346,-0.02449874,-0.2758917,0.1690589,0.2443772,0.5443252,-0.2963557,-0.3593456,-0.1117355,-0.1335281,0.6672541,-0.975742,0.01991763,0.2166346,-0.02449874,0.5208801,0.5208801,0.5208801,0.8701848,2.098284,-3.452966,-0.1833669,-0.1833669,-0.1833669,0.006190633,-0.02895962,-0.2185754,-0.5861022,-0.5861022,-0.5861022,0.4429223,-0.1800962,0.3300643,False,False
9,-0.01431021,-0.9300146,0.8068841,0.6978731,0.1227671,-0.3025979,0.637445,-0.2691701,-0.9322177,0.5026351,-0.7600732,-0.5678468,0.2787864,-0.5678468,-3.592515,1.461417,6.178413,-0.9762495,0.01957794,0.2142903,-0.02516849,-0.186585,0.1717274,0.2817808,0.6035167,-0.2726214,-0.266976,-0.1116557,-0.133583,0.6673898,-0.9762494,0.01957794,0.2142903,-0.02516848,0.6259644,0.6259644,0.6259644,0.7277406,2.19697,-2.775484,-0.1852253,-0.1852253,-0.1852253,0.01323229,-0.03246122,-0.2214634,-0.5763804,-0.5763804,-0.5763804,0.4513294,-0.1473677,0.2968116,False,False
10,-0.01634462,-0.9298608,0.8071855,0.6974551,0.1201346,-0.3046677,0.637418,-0.2688901,-0.9326997,0.5000404,-0.7586873,-0.5694137,0.2801424,-0.5694137,-3.592443,1.461365,6.178443,-0.9766337,0.01906432,0.2125674,-0.02526741,-0.07962792,0.1447138,0.2139762,0.5896071,-0.2454234,-0.1533553,-0.1115828,-0.1336348,0.6674193,-0.9766336,0.01906432,0.2125674,-0.02526741,1.449214,1.449214,1.449214,0.399847,4.192029,-1.8925,-0.1864321,-0.1864321,-0.1864321,0.0193563,-0.0348941,-0.2234513,-0.5709351,-0.5709351,-0.5709351,0.4565519,-0.1167141,0.2721444,False,False
