Frame,RtouchPos_X,RtouchPos_Y,RtouchPos_Z,RtouchRot_W,RtouchRot_X,RtouchRot_Y,RtouchRot_Z,LtouchPos_X,LtouchPos_Y,LtouchPos_Z,LtouchRot_W,LtouchRot_X,LtouchRot_Y,LtouchRot_Z,PlayerPos_X,PlayerPos_Y,PlayerPos_Z,PlayerRot_W,PlayerRot_X,PlayerRot_Y,PlayerRot_Z,Right_Accel_X,Right_Accel_Y,Right_Accel_Z,Left_Accel_X,Left_Accel_Y,Left_Accel_Z,Camera_Pos_X,Camera_Pos_Y,Camera_Pos_Z,Camera_Rot_W,Camera_Rot_X,Camera_Rot_Y,Camera_Rot_Z,Right_Angular_Accel_X,Right_Angular_Accel_Y,Right_Angular_Accel_Z,Left_Angular_Accel_X,Left_Angular_Accel_Y,Left_Angular_Accel_Z,Right_Vel_X,Right_Vel_Y,Right_Vel_Z,Left_Vel_X,Left_Vel_Y,Left_Vel_Z,Right_Angular_Vel_X,Right_Angular_Vel_Y,Right_Angular_Vel_Z,Left_Angular_Vel_X,Left_Angular_Vel_Y,Left_Angular_Vel_Z,Primary Hand Trigger,Secondary Hand Trigger
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-3.48086,3.146747,5.511024,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-3.48086,3.090241,5.511024,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,0.1388959,-0.2708409,-0.06735165,-0.8623063,0.4441347,0.2432495,-0.001381733,-0.01239636,-0.2327605,-0.08999106,-0.7243898,0.4305357,0.1810879,0.4305357,-3.399099,1.561582,5.267796,-0.9389285,-0.2172324,0.2666367,-0.01132667,0.9898967,-0.7094522,-2.985301,3.40128,-0.8496229,-2.532873,0.0817605,-0.03341756,-0.2432278,-0.9389285,-0.2172324,0.2666367,-0.01132668,-1.697864,-1.697864,-1.697864,-15.6347,1.211966,22.45336,-0.8503861,-0.8503861,-0.8503861,-0.8105702,0.07542031,-0.4353455,-0.746439,-0.746439,-0.746439,1.503861,-0.4504812,-3.107049,False,False
4,0.05121154,-0.2778679,-0.08151652,-0.8153901,0.4583614,0.353046,0.02006135,-0.08122579,-0.2333855,-0.148614,-0.660609,0.3488368,0.2992913,0.3488368,-3.412679,1.563099,5.260803,-0.9153078,-0.2116546,0.3421265,-0.019063,2.898153,-1.348343,-0.5885551,3.733142,-2.061684,0.700655,0.0681807,-0.03190119,-0.2502202,-0.9153079,-0.2116546,0.3421263,-0.01906295,13.0669,13.0669,13.0669,-3.388993,5.368505,21.43072,-0.5673259,-0.5673259,-0.5673259,-0.3813447,-0.107334,-0.4788435,-0.2864819,-0.2864819,-0.2864819,1.201536,0.2350436,-1.840093,False,False
5,0.03272938,-0.2824358,-0.08855403,-0.8038337,0.4504697,0.3871731,0.0320233,-0.09214852,-0.2380627,-0.1641928,-0.6535478,0.3236164,0.316992,0.3236164,-3.415095,1.563881,5.258931,-0.9100992,-0.2092974,0.3570754,-0.02028044,2.544437,-2.039482,-0.1938496,3.264683,-2.267118,1.212331,0.06576423,-0.03111846,-0.2520925,-0.9100992,-0.2092974,0.3570752,-0.0202804,10.1992,10.1992,10.1992,1.247746,5.795958,24.59562,-0.5064501,-0.5064501,-0.5064501,-0.3092299,-0.1504688,-0.460011,-0.06706601,-0.06706601,-0.06706601,1.182938,0.3607877,-1.36626,False,False
6,0.02279068,-0.286229,-0.09298411,-0.7969884,0.4436932,0.4081605,0.0367531,-0.09755074,-0.2420376,-0.1733987,-0.6532544,0.3084509,0.3256966,0.3084509,-3.420101,1.565336,5.255814,-0.8992292,-0.2039384,0.3863569,-0.02289614,2.721734,-2.215867,0.0496291,2.893653,-2.442957,1.625512,0.06075907,-0.02966411,-0.2552095,-0.8992293,-0.2039384,0.3863567,-0.02289611,9.836019,9.836019,9.836019,5.96975,2.234434,26.60853,-0.475328,-0.475328,-0.475328,-0.2702068,-0.1781539,-0.4431712,0.05654693,0.05654693,0.05654693,1.236946,0.4006587,-1.055611,False,False
7,0.01850372,-0.288742,-0.09516117,-0.7939854,0.439604,0.4182081,0.03791402,-0.09962932,-0.2446121,-0.1775874,-0.6556772,0.3011222,0.3296554,0.3011222,-3.422224,1.566505,5.254028,-0.8941937,-0.2001854,0.3997304,-0.0236425,2.657976,-2.515753,0.4532762,2.68203,-2.618835,1.877509,0.05863622,-0.02849478,-0.2569959,-0.8941938,-0.2001854,0.3997303,-0.02364247,10.26669,10.26669,10.26669,9.765789,1.424375,27.08808,-0.4481972,-0.4481972,-0.4481972,-0.2409315,-0.2032117,-0.4257114,0.1515782,0.1515782,0.1515782,1.327215,0.4084454,-0.7836719,False,False
8,0.01437466,-0.2914653,-0.09727284,-0.7911686,0.4352892,0.4278859,0.03859032,-0.1016363,-0.2473715,-0.1816178,-0.6589482,0.2937466,0.3338454,0.2937466,-3.424141,1.567706,5.252504,-0.8891059,-0.1957342,0.4130178,-0.02440022,2.65713,-2.580857,0.6328783,2.541952,-2.917018,2.041581,0.05671837,-0.02729364,-0.2585193,-0.8891059,-0.1957342,0.4130176,-0.02440019,10.50844,10.50844,10.50844,13.19722,-0.9355015,29.60983,-0.4268746,-0.4268746,-0.4268746,-0.2186724,-0.2249521,-0.4100888,0.235958,0.235958,0.235958,1.429237,0.4000971,-0.5492843,False,False
9,0.01095219,-0.2949504,-0.09917535,-0.7893533,0.4303725,0.436219,0.03760206,-0.1030729,-0.250973,-0.1850705,-0.6661825,0.2863892,0.3376631,0.2863892,-3.425686,1.56946,5.250671,-0.8851027,-0.1886358,0.4247101,-0.02511943,2.608652,-2.66803,1.004882,2.626692,-3.457646,2.27346,0.05517352,-0.02553971,-0.2603526,-0.8851028,-0.1886358,0.4247099,-0.0251194,11.38747,11.38747,11.38747,16.43184,0.4313658,34.23391,-0.3902737,-0.3902737,-0.3902737,-0.1810883,-0.2688667,-0.3801118,0.3844742,0.3844742,0.3844742,1.639594,0.4056586,-0.08589918,False,False
10,0.00727354,-0.2981491,-0.1010035,-0.7873662,0.4252609,0.4447409,0.03759133,-0.1046187,-0.2546072,-0.1885177,-0.6732687,0.2784904,0.3417704,0.2784904,-3.427334,1.571225,5.249124,-0.8807342,-0.1812025,0.4368248,-0.0256327,2.633536,-2.766632,1.171336,2.71191,-3.786329,2.430978,0.05352529,-0.02377449,-0.2618996,-0.8807343,-0.1812024,0.4368247,-0.02563267,12.68517,12.68517,12.68517,21.80265,0.9150774,38.41662,-0.3742147,-0.3742147,-0.3742147,-0.1583033,-0.2977624,-0.3611536,0.4626858,0.4626858,0.4626858,1.808512,0.415655,0.210425,False,False
