Frame,RtouchPos_X,RtouchPos_Y,RtouchPos_Z,RtouchRot_W,RtouchRot_X,RtouchRot_Y,RtouchRot_Z,LtouchPos_X,LtouchPos_Y,LtouchPos_Z,LtouchRot_W,LtouchRot_X,LtouchRot_Y,LtouchRot_Z,PlayerPos_X,PlayerPos_Y,PlayerPos_Z,PlayerRot_W,PlayerRot_X,PlayerRot_Y,PlayerRot_Z,Right_Accel_X,Right_Accel_Y,Right_Accel_Z,Left_Accel_X,Left_Accel_Y,Left_Accel_Z,Camera_Pos_X,Camera_Pos_Y,Camera_Pos_Z,Camera_Rot_W,Camera_Rot_X,Camera_Rot_Y,Camera_Rot_Z,Right_Angular_Accel_X,Right_Angular_Accel_Y,Right_Angular_Accel_Z,Left_Angular_Accel_X,Left_Angular_Accel_Y,Left_Angular_Accel_Z,Right_Vel_X,Right_Vel_Y,Right_Vel_Z,Left_Vel_X,Left_Vel_Y,Left_Vel_Z,Right_Angular_Vel_X,Right_Angular_Vel_Y,Right_Angular_Vel_Z,Left_Angular_Vel_X,Left_Angular_Vel_Y,Left_Angular_Vel_Z,Primary Hand Trigger,Secondary Hand Trigger
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-3.48086,3.146747,5.511024,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-3.48086,3.090241,5.511024,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,0.4560703,-0.9338821,0.03436995,-0.6444613,-0.4611541,0.3385929,-0.5073081,0.1477048,-0.9277819,-0.1044908,-0.7302623,-0.6474059,-0.05564337,-0.6474059,-3.237257,1.537368,5.413704,-0.8209321,0.01510837,0.5629609,-0.09443226,-0.1743672,0.02827682,-0.06070556,-0.06813283,-0.003883076,-0.0080949,0.2436028,-0.05763219,-0.09731928,-0.820932,0.01510837,0.5629609,-0.09443226,0.5381845,0.5381845,0.5381845,-0.704815,-0.6440763,1.598512,-0.02531138,-0.02531138,-0.02531138,-0.000683959,-0.00144223,-0.02137291,-0.03841195,-0.03841195,-0.03841195,0.007506787,-0.02449864,0.1906372,False,False
4,0.4500933,-0.9330661,0.03762607,-0.6393383,-0.4520778,0.3492951,-0.5146506,0.146316,-0.9280657,-0.1104456,-0.7305542,-0.6502399,-0.04531061,-0.6502399,-3.238603,1.537061,5.412373,-0.8168077,0.01403999,0.5687677,-0.0955576,-0.000572892,0.04136742,0.06356889,0.003622181,-0.0663718,-0.1017615,0.2422567,-0.05793894,-0.09865016,-0.8168076,0.01404001,0.5687679,-0.0955576,-0.4753654,-0.4753654,-0.4753654,-1.053475,-0.2312423,-1.331987,-0.03504122,-0.03504122,-0.03504122,-0.003197352,-0.004062434,-0.03888993,-0.08071135,-0.08071135,-0.08071135,0.04791137,-0.008926477,0.1271574,False,False
5,0.448949,-0.9328161,0.03841623,-0.6386479,-0.4503832,0.3510206,-0.5158182,0.1460949,-0.9282065,-0.1118337,-0.730365,-0.650925,-0.04376099,-0.650925,-3.23877,1.537009,5.412118,-0.8160214,0.01386923,0.5698906,-0.09561332,0.033157,0.02907341,0.08044221,-0.03347106,-0.1080655,-0.1656225,0.2420899,-0.05799086,-0.09890474,-0.8160211,0.01386925,0.5698906,-0.09561331,-0.1979507,-0.1979507,-0.1979507,0.76278,-0.01877302,0.3088945,-0.0343621,-0.0343621,-0.0343621,-0.003240337,-0.005461231,-0.04167145,-0.07479869,-0.07479869,-0.07479869,0.05537987,-0.01435677,0.1046146,False,False
6,0.4482004,-0.9326248,0.03898292,-0.6382917,-0.4492879,0.352082,-0.5164905,0.1459556,-0.92832,-0.1127859,-0.7300951,-0.6514714,-0.04290576,-0.6514714,-3.239282,1.536948,5.411611,-0.8146783,0.0131686,0.5717375,-0.09613671,-0.01022844,0.004775399,0.06970668,0.008291468,-0.06661801,-0.06366777,0.2415777,-0.05805148,-0.09941241,-0.8146781,0.01316863,0.5717376,-0.09613671,0.153936,0.153936,0.153936,0.8670723,-0.1985649,-0.004031023,-0.03415693,-0.03415693,-0.03415693,-0.003345272,-0.005645481,-0.04250291,-0.07631418,-0.07631418,-0.07631418,0.06282033,-0.01123445,0.09279078,False,False
7,0.4478505,-0.9325083,0.03929326,-0.6382053,-0.4488091,0.3524888,-0.5167359,0.1458824,-0.9283751,-0.1132751,-0.7298334,-0.6518509,-0.04263456,-0.6518509,-3.239456,1.536891,5.411401,-0.8140973,0.01311836,0.5725352,-0.09631701,0.0004080199,0.0401843,0.0938751,0.02943403,-0.07679417,-0.1009257,0.2414035,-0.05810915,-0.09962264,-0.8140972,0.01311838,0.5725354,-0.096317,0.5773718,0.5773718,0.5773718,1.286621,0.5727662,-0.7471443,-0.03367573,-0.03367573,-0.03367573,-0.003304698,-0.005746823,-0.04368364,-0.07407704,-0.07407704,-0.07407704,0.07343426,-0.004946653,0.07882078,False,False
8,0.4475012,-0.9323969,0.03961394,-0.6380834,-0.4483028,0.3528551,-0.517076,0.1458081,-0.9284408,-0.1137675,-0.7296296,-0.6521567,-0.04240382,-0.6521567,-3.239642,1.536857,5.411201,-0.8134697,0.01279181,0.5734755,-0.09607018,0.03854561,0.01823542,0.08598049,0.06883276,-0.05683078,-0.07684834,0.2412176,-0.05814335,-0.09982299,-0.8134695,0.01279183,0.5734756,-0.09607017,-0.03400813,-0.03400813,-0.03400813,0.4526604,1.14076,-1.472527,-0.03329352,-0.03329352,-0.03329352,-0.00329431,-0.006001374,-0.04427443,-0.06979719,-0.06979719,-0.06979719,0.0723656,-0.0007545086,0.06810062,False,False
9,0.4471476,-0.9322871,0.03995628,-0.638027,-0.4477989,0.3532476,-0.5173141,0.1457317,-0.9285247,-0.1142607,-0.7293819,-0.6525062,-0.04217771,-0.6525062,-3.23977,1.536822,5.411048,-0.8131169,0.01261942,0.573962,-0.09617408,0.007719797,-0.008495202,0.1081476,0.03154336,-0.05393713,-0.004438046,0.2410895,-0.05817786,-0.09997517,-0.8131167,0.01261943,0.5739622,-0.09617406,-0.3137145,-0.3137145,-0.3137145,0.3358187,-0.2797027,-1.852061,-0.03314881,-0.03314881,-0.03314881,-0.003273395,-0.006717937,-0.04465768,-0.07239247,-0.07239247,-0.07239247,0.07661335,0.00131963,0.05951139,False,False
10,0.4468011,-0.9321759,0.04031661,-0.6379862,-0.4472817,0.3535558,-0.5176011,0.1456586,-0.9286069,-0.1147889,-0.7291374,-0.6528528,-0.04191571,-0.6528528,-3.239931,1.536805,5.410903,-0.8127323,0.01243611,0.5744748,-0.09638575,0.01394211,0.03194877,0.07611826,0.0127366,-0.007926817,-0.01619908,0.2409285,-0.05819483,-0.1001204,-0.8127322,0.01243613,0.5744749,-0.09638575,-0.2135231,-0.2135231,-0.2135231,0.1609394,0.3611209,-0.2417592,-0.03288367,-0.03288367,-0.03288367,-0.003360318,-0.006935451,-0.04498378,-0.07075676,-0.07075676,-0.07075676,0.07874228,0.00129468,0.05521506,False,False
