Frame,RtouchPos_X,RtouchPos_Y,RtouchPos_Z,RtouchRot_W,RtouchRot_X,RtouchRot_Y,RtouchRot_Z,LtouchPos_X,LtouchPos_Y,LtouchPos_Z,LtouchRot_W,LtouchRot_X,LtouchRot_Y,LtouchRot_Z,PlayerPos_X,PlayerPos_Y,PlayerPos_Z,PlayerRot_W,PlayerRot_X,PlayerRot_Y,PlayerRot_Z,Right_Accel_X,Right_Accel_Y,Right_Accel_Z,Left_Accel_X,Left_Accel_Y,Left_Accel_Z,Camera_Pos_X,Camera_Pos_Y,Camera_Pos_Z,Camera_Rot_W,Camera_Rot_X,Camera_Rot_Y,Camera_Rot_Z,Right_Angular_Accel_X,Right_Angular_Accel_Y,Right_Angular_Accel_Z,Left_Angular_Accel_X,Left_Angular_Accel_Y,Left_Angular_Accel_Z,Right_Vel_X,Right_Vel_Y,Right_Vel_Z,Left_Vel_X,Left_Vel_Y,Left_Vel_Z,Right_Angular_Vel_X,Right_Angular_Vel_Y,Right_Angular_Vel_Z,Left_Angular_Vel_X,Left_Angular_Vel_Y,Left_Angular_Vel_Z,Primary Hand Trigger,Secondary Hand Trigger
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-3.48086,3.146747,5.511024,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-3.48086,3.090241,5.511024,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,0.4066454,-0.9092119,0.1809672,-0.7000169,-0.4410106,0.373901,-0.4191468,0.1069501,-0.9114513,0.05878644,-0.7517591,-0.5969326,-0.0477137,-0.5969326,-3.231674,1.55201,5.591273,-0.9838898,0.01303799,0.1777868,-0.01351981,0.4006968,0.4296287,-0.1779262,-0.0116764,0.08790877,-0.234521,0.2491856,-0.04299,0.08025002,-0.9838898,0.01303799,0.1777868,-0.01351981,8.700521,8.700521,8.700521,-0.07634302,2.198648,-2.207884,0.01454265,0.01454265,0.01454265,0.01836054,-0.01734319,-0.001363874,0.4123169,0.4123169,0.4123169,-0.02135538,-0.04584505,-0.9652611,False,False
4,0.4243707,-0.9013197,0.1635497,-0.6084456,-0.5810856,0.3930836,-0.3709701,0.1104003,-0.9065428,0.06059881,-0.7831326,-0.5404046,-0.1051005,-0.5404046,-3.231735,1.552108,5.591483,-0.9845347,0.01271409,0.1742238,-0.01326305,-0.3407009,-0.633151,0.1497444,-0.1167379,-0.2399258,0.06166264,0.2491243,-0.04289151,0.08045957,-0.9845347,0.01271409,0.1742238,-0.01326305,-2.470563,-2.470563,-2.470563,7.420314,-0.7174326,2.511417,0.05429278,0.05429278,0.05429278,-0.009660253,0.002269126,-0.003705137,-0.0886537,-0.0886537,-0.0886537,-0.5117345,-0.04771496,0.02020827,False,False
5,0.4258551,-0.9016522,0.1621391,-0.6074435,-0.5777589,0.395851,-0.3748455,0.1099027,-0.9063743,0.06044002,-0.7866591,-0.5354922,-0.1059814,-0.5354922,-3.231795,1.55209,5.591482,-0.984623,0.01273231,0.1737053,-0.01348424,-0.3189325,-0.4257867,-0.1063543,-0.04219978,-0.2559444,-0.001058056,0.2490645,-0.04290975,0.08045887,-0.9846231,0.01273231,0.1737053,-0.01348424,4.64321,4.64321,4.64321,11.884,-0.3257924,0.4724909,0.04742323,0.04742323,0.04742323,-0.01286937,-0.002435639,-0.003492262,-0.03948463,-0.03948463,-0.03948463,-0.308723,-0.04027926,0.04415068,False,False
6,0.4269852,-0.902303,0.1606695,-0.6071911,-0.5761342,0.3948988,-0.378739,0.1094173,-0.906576,0.06027122,-0.7872385,-0.5349132,-0.1058529,-0.5349132,-3.231908,1.552138,5.591587,-0.9848361,0.01259933,0.1725006,-0.0135194,-0.4640164,-0.1489099,-0.2861587,0.196024,-0.1758796,-0.01451621,0.2489513,-0.04286223,0.08056331,-0.984836,0.01259933,0.1725006,-0.0135194,3.721063,3.721063,3.721063,10.18229,0.8158107,0.05966312,0.0395406,0.0395406,0.0395406,-0.01254759,-0.006403453,-0.004534387,0.0423527,0.0423527,0.0423527,-0.1089522,-0.01494356,0.0402376,False,False
7,0.4271233,-0.9025142,0.1600768,-0.6073642,-0.5768449,0.3932251,-0.3791209,0.1093583,-0.9066526,0.06023924,-0.7867764,-0.5356455,-0.1055045,-0.5356455,-3.232002,1.552129,5.591631,-0.984933,0.01271945,0.1719247,-0.01368957,-0.606738,0.09456351,-0.6384649,0.2387345,-0.0935315,0.0006489015,0.248858,-0.04287086,0.08060798,-0.9849328,0.01271945,0.1719246,-0.01368956,4.112726,4.112726,4.112726,5.914732,-0.9576731,1.113102,0.03254576,0.03254576,0.03254576,-0.01127699,-0.008223922,-0.004962984,0.08893813,0.08893813,0.08893813,-0.02283177,-0.01919033,0.05065819,False,False
8,0.4271801,-0.9026107,0.1593364,-0.6069626,-0.5776967,0.3924019,-0.37932,0.1091884,-0.9067669,0.06014627,-0.786773,-0.5358267,-0.1049749,-0.5358267,-3.232094,1.552189,5.591648,-0.9850199,0.01237782,0.1714259,-0.01399017,-0.6509682,0.347389,-0.9491557,0.343878,-0.008136548,-0.08216136,0.248766,-0.04281115,0.08062444,-0.9850199,0.01237782,0.1714259,-0.01399017,3.108688,3.108688,3.108688,3.200711,-1.394045,0.6638036,0.02574769,0.02574769,0.02574769,-0.009031992,-0.00884215,-0.005340276,0.1233507,0.1233507,0.1233507,0.01335268,-0.03508638,0.06016847,False,False
9,0.426991,-0.9025503,0.1583801,-0.6059824,-0.579192,0.3924546,-0.3785516,0.109017,-0.9068546,0.06001814,-0.7872514,-0.5354882,-0.1043618,-0.5354882,-3.232238,1.55217,5.591721,-0.9851137,0.01267182,0.1708503,-0.01416315,-0.7631896,0.3405448,-0.9288627,0.4763156,0.2709884,0.06634761,0.2486218,-0.04282978,0.08069734,-0.9851137,0.01267182,0.1708503,-0.01416315,0.2941705,0.2941705,0.2941705,-5.176457,-0.5795437,1.750508,0.01462014,0.01462014,0.01462014,-0.005007687,-0.007097042,-0.0053637,0.1471238,0.1471238,0.1471238,-0.02703596,-0.04025768,0.07958756,False,False
10,0.426839,-0.902554,0.1574479,-0.6051925,-0.5803789,0.3929065,-0.3775274,0.1089897,-0.9068533,0.05988957,-0.7882839,-0.5343352,-0.1043903,-0.5343352,-3.232305,1.552184,5.591762,-0.9851516,0.01267106,0.1705948,-0.01459885,-0.6994577,0.1522351,-0.5468273,0.4475955,0.2208777,-0.05136243,0.2485544,-0.04281595,0.08073861,-0.9851516,0.01267106,0.1705948,-0.01459885,-1.155365,-1.155365,-1.155365,-7.946304,2.167257,0.4109483,0.006577979,0.006577979,0.006577979,-0.001540286,-0.004714005,-0.006069654,0.1346134,0.1346134,0.1346134,-0.1036363,-0.02215054,0.08092599,False,False
