Frame,RtouchPos_X,RtouchPos_Y,RtouchPos_Z,RtouchRot_W,RtouchRot_X,RtouchRot_Y,RtouchRot_Z,LtouchPos_X,LtouchPos_Y,LtouchPos_Z,LtouchRot_W,LtouchRot_X,LtouchRot_Y,LtouchRot_Z,PlayerPos_X,PlayerPos_Y,PlayerPos_Z,PlayerRot_W,PlayerRot_X,PlayerRot_Y,PlayerRot_Z,Right_Accel_X,Right_Accel_Y,Right_Accel_Z,Left_Accel_X,Left_Accel_Y,Left_Accel_Z,Camera_Pos_X,Camera_Pos_Y,Camera_Pos_Z,Camera_Rot_W,Camera_Rot_X,Camera_Rot_Y,Camera_Rot_Z,Right_Angular_Accel_X,Right_Angular_Accel_Y,Right_Angular_Accel_Z,Left_Angular_Accel_X,Left_Angular_Accel_Y,Left_Angular_Accel_Z,Right_Vel_X,Right_Vel_Y,Right_Vel_Z,Left_Vel_X,Left_Vel_Y,Left_Vel_Z,Right_Angular_Vel_X,Right_Angular_Vel_Y,Right_Angular_Vel_Z,Left_Angular_Vel_X,Left_Angular_Vel_Y,Left_Angular_Vel_Z,Primary Hand Trigger,Secondary Hand Trigger
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-3.48086,3.146747,5.511024,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-3.48086,3.090241,5.511024,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,0.2106871,-0.5148497,0.3263866,-0.940513,-0.2422578,0.1692104,0.167673,-0.008236528,-0.5211681,0.2381642,-0.9436417,-0.1874614,-0.09189592,-0.1874614,-3.35285,1.521299,5.642867,-0.9995721,-0.00770697,0.02620844,-0.01045309,0.1387532,0.7561566,-0.07249064,0.3338384,0.1875798,-0.4605119,0.1280094,-0.0737007,0.1318434,-0.9995722,-0.00770697,0.02620844,-0.01045309,43.2323,43.2323,43.2323,8.966745,6.483188,2.83757,0.03537647,0.03537647,0.03537647,-0.0414829,0.02429801,0.007803619,0.8244166,0.8244166,0.8244166,-0.363261,-0.2261834,0.4589283,False,False
4,0.2130065,-0.5125224,0.3282023,-0.9212114,-0.2543033,0.183576,0.2302162,-0.0132165,-0.5181779,0.2352665,-0.923799,-0.1834067,-0.09727959,-0.1834067,-3.352768,1.521387,5.64277,-0.9995754,-0.007436863,0.02616639,-0.01043292,0.1554454,-0.7491277,-0.1491455,-0.1459316,0.2274729,-0.668449,0.1280915,-0.07361291,0.1317466,-0.9995755,-0.007436863,0.02616639,-0.01043292,4.556149,4.556149,4.556149,27.17514,19.05251,0.566405,-0.02748217,-0.02748217,-0.02748217,-0.03030844,0.04458479,-0.04062226,0.4824201,0.4824201,0.4824201,0.6810883,0.606078,0.951598,False,False
5,0.2121842,-0.5137882,0.3287593,-0.9141958,-0.2659847,0.1859444,0.2427403,-0.01397678,-0.5172269,0.2337307,-0.9105346,-0.1977932,-0.1191184,-0.1977932,-3.352671,1.521441,5.642706,-0.9995771,-0.007330706,0.02613651,-0.01042884,0.1743375,-0.3717284,0.09848755,-0.431915,0.4200333,-0.5703025,0.1281885,-0.07355838,0.1316824,-0.9995771,-0.007330706,0.02613651,-0.01042884,-0.6445506,-0.6445506,-0.6445506,9.289907,22.30203,4.731244,-0.02431571,-0.02431571,-0.02431571,-0.03797087,0.05168707,-0.05556272,0.512118,0.512118,0.512118,1.035671,1.082929,1.016875,False,False
6,0.2117619,-0.5145533,0.3291094,-0.9113872,-0.2723837,0.1844832,0.2472779,-0.01442516,-0.5165376,0.2328208,-0.9019971,-0.2032041,-0.1346357,-0.2032041,-3.352633,1.521452,5.64269,-0.99958,-0.007368858,0.02603493,-0.01037222,0.06120117,-0.07996022,0.1458982,-0.2211626,0.3767801,-0.02756571,0.1282263,-0.07354762,0.1316665,-0.9995801,-0.007368858,0.02603493,-0.01037222,-1.281973,-1.281973,-1.281973,-9.80469,14.76186,6.718118,-0.02301012,-0.02301012,-0.02301012,-0.04210053,0.05640068,-0.05856486,0.4978467,0.4978467,0.4978467,0.9669702,1.286186,1.09323,False,False
7,0.2115978,-0.5148972,0.3293091,-0.9099209,-0.2755955,0.1828563,0.2503091,-0.01461846,-0.5161085,0.232462,-0.8982822,-0.2018284,-0.1406087,-0.2018284,-3.352589,1.521454,5.642683,-0.9995785,-0.007634584,0.02602734,-0.01035063,0.1414461,0.07633339,0.06514591,0.5327091,0.1428306,0.8085306,0.1282705,-0.07354613,0.1316589,-0.9995785,-0.007634583,0.02602734,-0.01035063,-2.749375,-2.749375,-2.749375,-29.89716,-0.7730904,3.087049,-0.02185104,-0.02185104,-0.02185104,-0.03994174,0.05786802,-0.05458583,0.4769135,0.4769135,0.4769135,0.7106453,1.320596,1.142352,False,False
8,0.2115456,-0.51525,0.3294473,-0.9077299,-0.2782571,0.1822062,0.255735,-0.01479029,-0.5155967,0.2324258,-0.8976694,-0.1955045,-0.1373609,-0.1955045,-3.352564,1.521412,5.642701,-0.9995781,-0.007996502,0.02600221,-0.01016658,0.1869123,0.08449126,-0.1637531,1.00406,-0.3807634,1.953916,0.1282956,-0.07358766,0.1316772,-0.9995782,-0.007996501,0.02600221,-0.01016657,-3.552482,-3.552482,-3.552482,-56.32031,-38.06154,-6.42202,-0.01955827,-0.01955827,-0.01955827,-0.02902986,0.05651094,-0.03519965,0.434507,0.434507,0.434507,0.1037618,0.9565881,1.101532,False,False
9,0.2115159,-0.5156829,0.3295382,-0.9046351,-0.2811355,0.1833924,0.2626128,-0.01480728,-0.5152763,0.2327955,-0.899608,-0.1933505,-0.1329344,-0.1933505,-3.352546,1.521312,5.642754,-0.9995662,-0.009068759,0.02620782,-0.009916403,-0.06427082,-0.150193,-0.1857127,0.696717,-1.092772,0.9774826,0.1283134,-0.07368784,0.1317306,-0.9995662,-0.009068758,0.02620782,-0.009916404,4.940258,4.940258,4.940258,6.460871,-28.10597,-35.77154,-0.01840431,-0.01840431,-0.01840431,-0.01555299,0.04395298,-0.0104409,0.4465247,0.4465247,0.4465247,-0.1006969,0.4445447,0.6348573,False,False
10,0.2113696,-0.5161487,0.3296543,-0.9016901,-0.2851825,0.1842625,0.2677185,-0.01481528,-0.5150687,0.2328435,-0.900001,-0.1940907,-0.1326295,-0.1940907,-3.352587,1.521169,5.642839,-0.9995592,-0.009484639,0.02639534,-0.009744671,-0.3034179,-0.2420598,-0.2886739,0.6139205,-1.214781,0.3497674,0.128273,-0.07383122,0.131816,-0.9995591,-0.009484639,0.02639533,-0.009744669,10.25917,10.25917,10.25917,7.49196,-23.54288,-34.43422,-0.01981746,-0.01981746,-0.01981746,-0.01029699,0.03448822,-0.005946514,0.5233063,0.5233063,0.5233063,-0.03197433,0.2529791,0.3644924,False,False
