Frame,RtouchPos_X,RtouchPos_Y,RtouchPos_Z,RtouchRot_W,RtouchRot_X,RtouchRot_Y,RtouchRot_Z,LtouchPos_X,LtouchPos_Y,LtouchPos_Z,LtouchRot_W,LtouchRot_X,LtouchRot_Y,LtouchRot_Z,PlayerPos_X,PlayerPos_Y,PlayerPos_Z,PlayerRot_W,PlayerRot_X,PlayerRot_Y,PlayerRot_Z,Right_Accel_X,Right_Accel_Y,Right_Accel_Z,Left_Accel_X,Left_Accel_Y,Left_Accel_Z,Camera_Pos_X,Camera_Pos_Y,Camera_Pos_Z,Camera_Rot_W,Camera_Rot_X,Camera_Rot_Y,Camera_Rot_Z,Right_Angular_Accel_X,Right_Angular_Accel_Y,Right_Angular_Accel_Z,Left_Angular_Accel_X,Left_Angular_Accel_Y,Left_Angular_Accel_Z,Right_Vel_X,Right_Vel_Y,Right_Vel_Z,Left_Vel_X,Left_Vel_Y,Left_Vel_Z,Right_Angular_Vel_X,Right_Angular_Vel_Y,Right_Angular_Vel_Z,Left_Angular_Vel_X,Left_Angular_Vel_Y,Left_Angular_Vel_Z,Primary Hand Trigger,Secondary Hand Trigger
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-3.48086,3.146747,5.511024,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-3.48086,3.090241,5.511024,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,0.3936755,-0.4874724,0.02270247,-0.8266421,0.03523959,0.5610566,0.02522929,0.3261902,-0.487841,-0.102487,-0.879693,-0.06008486,0.4396034,-0.06008486,-2.990664,1.519906,5.377313,-0.8276968,-0.1468011,0.5351115,-0.08380537,-0.05412893,0.6960037,0.3585512,-1.374987,-0.1814063,-0.2394692,0.4901955,-0.07509438,-0.1337104,-0.8276967,-0.146801,0.5351114,-0.08380537,-3.107312,-3.107312,-3.107312,8.052673,-16.94268,3.190386,-0.1032686,-0.1032686,-0.1032686,-0.03796465,-0.1163967,-0.179959,-0.4033513,-0.4033513,-0.4033513,0.2816851,0.02626023,-0.5628227,False,False
4,0.3795882,-0.4763509,0.006250654,-0.8159082,0.05478305,0.5745637,0.03419318,0.3173881,-0.4958997,-0.1285671,-0.8652286,-0.08137347,0.4726322,-0.08137347,-2.990263,1.519922,5.375134,-0.8277315,-0.1471996,0.5349765,-0.08362396,0.3616332,-0.829554,-0.5367842,0.3778381,0.4665095,0.2194217,0.4905964,-0.07507768,-0.1358899,-0.8277315,-0.1471996,0.5349765,-0.08362396,-1.71958,-1.71958,-1.71958,-6.78045,1.760739,-6.241052,-0.09705082,-0.09705082,-0.09705082,-0.03211316,0.01385213,-0.1819659,-0.1923618,-0.1923618,-0.1923618,0.1468846,-0.431581,0.4510615,False,False
5,0.3760336,-0.4741684,0.002055962,-0.8138911,0.05623616,0.5769954,0.03866543,0.3160936,-0.495113,-0.1361686,-0.8622277,-0.07713675,0.4805021,-0.07713675,-2.989722,1.519829,5.372381,-0.8278179,-0.147459,0.5347295,-0.08389268,0.3021037,-0.8789363,-0.4702857,-0.1419633,0.3812531,0.2251405,0.4911381,-0.07517086,-0.138643,-0.8278178,-0.147459,0.5347294,-0.08389268,1.458341,1.458341,1.458341,-6.755378,-2.039971,-4.46208,-0.0899937,-0.0899937,-0.0899937,-0.03084111,0.02546218,-0.1771897,-0.1819078,-0.1819078,-0.1819078,-0.02430288,-0.4220451,0.3246294,False,False
6,0.3742953,-0.4734834,-0.0005449368,-0.8118818,0.05726912,0.579661,0.03951478,0.3153553,-0.4943902,-0.1402138,-0.8600208,-0.07386141,0.4852313,-0.07386141,-2.989335,1.519714,5.370827,-0.8275607,-0.1478269,0.534912,-0.0846144,0.3877253,-0.655863,-0.3206794,-0.2985633,0.2665766,0.2969725,0.4915252,-0.07528632,-0.1401968,-0.8275607,-0.1478269,0.534912,-0.0846144,0.7290617,0.7290617,0.7290617,-3.46964,-3.802762,-4.747817,-0.08299713,-0.08299713,-0.08299713,-0.03494127,0.03045243,-0.1729735,-0.140496,-0.140496,-0.140496,-0.1006343,-0.4781013,0.2515011,False,False
7,0.3726608,-0.4729065,-0.003207311,-0.8097852,0.05830086,0.5824293,0.04031148,0.3145311,-0.4934845,-0.1441227,-0.8572075,-0.07053712,0.4906553,-0.07053712,-2.989085,1.519622,5.36976,-0.8276075,-0.1481017,0.5346705,-0.08520065,0.4395425,-0.5439093,-0.2808901,-0.3368435,0.5375745,0.3298019,0.4917749,-0.07537764,-0.1412634,-0.8276075,-0.1481017,0.5346705,-0.08520065,1.082212,1.082212,1.082212,-2.856588,-4.439387,-3.568634,-0.07820142,-0.07820142,-0.07820142,-0.03950768,0.03548562,-0.168409,-0.1268391,-0.1268391,-0.1268391,-0.1418876,-0.541608,0.1889111,False,False
8,0.3720086,-0.4727502,-0.004605998,-0.8083971,0.05872941,0.5843067,0.04038212,0.3139973,-0.4927585,-0.1460119,-0.8551592,-0.06796147,0.4945381,-0.06796147,-2.988822,1.519662,5.368841,-0.8276457,-0.1478953,0.5346384,-0.08539008,0.4456532,-0.4049692,-0.1623586,-0.3638201,0.5501035,0.3491851,0.4920382,-0.07533804,-0.1421825,-0.8276457,-0.1478953,0.5346383,-0.08539007,0.6785905,0.6785905,0.6785905,-3.875035,-6.220631,1.689671,-0.0720196,-0.0720196,-0.0720196,-0.04494904,0.04361225,-0.1638131,-0.1094164,-0.1094164,-0.1094164,-0.1862371,-0.6370931,0.1954916,False,False
9,0.3714781,-0.4726449,-0.00601806,-0.8068112,0.05925192,0.5864585,0.04014213,0.3133912,-0.4919445,-0.1477941,-0.852939,-0.06504772,0.4991337,-0.06504772,-2.988482,1.519846,5.367923,-0.827565,-0.147103,0.5349756,-0.08542947,0.432566,-0.1668079,-0.1446624,-0.2158411,0.5023135,0.429814,0.4923776,-0.07515386,-0.1431001,-0.8275649,-0.147103,0.5349756,-0.08542947,0.4775469,0.4775469,0.4775469,1.567604,-4.818125,6.423413,-0.06192939,-0.06192939,-0.06192939,-0.05079798,0.05440276,-0.1553446,-0.08894444,-0.08894444,-0.08894444,-0.1811064,-0.7553773,0.3031045,False,False
10,0.3702348,-0.4722992,-0.008807178,-0.8039531,0.06030299,0.5902662,0.04011272,0.3123505,-0.4906151,-0.151503,-0.8491462,-0.06002787,0.5068749,-0.06002787,-2.988025,1.520011,5.366436,-0.8278268,-0.1456105,0.5350099,-0.08523333,0.4997178,-0.09550835,-0.08598028,-0.07555766,0.4430541,0.4324394,0.4928349,-0.07498922,-0.1445872,-0.8278268,-0.1456106,0.5350099,-0.08523333,0.8179895,0.8179895,0.8179895,1.774433,-2.565517,7.239104,-0.05818824,-0.05818824,-0.05818824,-0.05210793,0.05905692,-0.1510975,-0.0815961,-0.0815961,-0.0815961,-0.1634885,-0.7889521,0.373713,False,False
