Frame,RtouchPos_X,RtouchPos_Y,RtouchPos_Z,RtouchRot_W,RtouchRot_X,RtouchRot_Y,RtouchRot_Z,LtouchPos_X,LtouchPos_Y,LtouchPos_Z,LtouchRot_W,LtouchRot_X,LtouchRot_Y,LtouchRot_Z,PlayerPos_X,PlayerPos_Y,PlayerPos_Z,PlayerRot_W,PlayerRot_X,PlayerRot_Y,PlayerRot_Z,Right_Accel_X,Right_Accel_Y,Right_Accel_Z,Left_Accel_X,Left_Accel_Y,Left_Accel_Z,Camera_Pos_X,Camera_Pos_Y,Camera_Pos_Z,Camera_Rot_W,Camera_Rot_X,Camera_Rot_Y,Camera_Rot_Z,Right_Angular_Accel_X,Right_Angular_Accel_Y,Right_Angular_Accel_Z,Left_Angular_Accel_X,Left_Angular_Accel_Y,Left_Angular_Accel_Z,Right_Vel_X,Right_Vel_Y,Right_Vel_Z,Left_Vel_X,Left_Vel_Y,Left_Vel_Z,Right_Angular_Vel_X,Right_Angular_Vel_Y,Right_Angular_Vel_Z,Left_Angular_Vel_X,Left_Angular_Vel_Y,Left_Angular_Vel_Z,Primary Hand Trigger,Secondary Hand Trigger
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-3.48086,3.146747,5.511024,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-3.48086,3.090241,5.511024,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,0.2048139,-0.4460889,0.7067896,-0.958589,-0.06836557,0.2524329,0.1127423,-0.01719398,-0.4123447,0.6138684,0.9434531,-0.05949576,-0.3095845,-0.05949576,-3.327666,1.581149,6.026689,-0.9257204,-0.2737605,0.2608539,-0.007231556,-0.2236831,-0.02998049,-0.3589779,-0.2076711,-0.3641028,-1.019594,0.1531936,-0.01385107,0.5156653,-0.9257205,-0.2737605,0.2608539,-0.007231558,-5.466919,-5.466919,-5.466919,8.489368,17.79713,12.30992,-0.2195966,-0.2195966,-0.2195966,-0.1945578,0.04562764,-0.1385272,-0.2285627,-0.2285627,-0.2285627,0.01423796,0.1375903,-0.1583925,False,False
4,0.18656,-0.4431455,0.6957287,-0.9584755,-0.05951192,0.2553552,0.1121466,-0.03335784,-0.4110251,0.601716,0.9497454,-0.05487446,-0.2896614,-0.05487446,-3.336648,1.582483,6.01969,-0.9277471,-0.2715428,0.2559803,-0.004899345,0.3894385,0.138537,-0.05135652,0.2844064,-0.7334719,-0.3737759,0.144212,-0.01251726,0.5086664,-0.9277471,-0.2715428,0.2559803,-0.004899348,2.321413,2.321413,2.321413,1.489132,7.422294,-8.241889,-0.2280834,-0.2280834,-0.2280834,-0.1981088,-0.01610715,-0.1703888,-0.1210434,-0.1210434,-0.1210434,0.3196796,0.690749,-0.1218631,False,False
5,0.1782834,-0.4419434,0.6904923,-0.9571306,-0.05842374,0.2593406,0.1150227,-0.0405052,-0.4117719,0.5959589,0.9540213,-0.04999352,-0.2764895,-0.04999352,-3.338116,1.582813,6.018364,-0.9282426,-0.2713436,0.2544005,-0.004329957,0.453146,0.1086366,0.06751471,0.3992551,-0.03373915,0.03516803,0.1427434,-0.01218699,0.5073407,-0.9282426,-0.2713436,0.2544005,-0.004329965,3.202315,3.202315,3.202315,-1.012007,-1.684153,7.83418,-0.2189193,-0.2189193,-0.2189193,-0.1909866,-0.0228145,-0.1741481,-0.04495258,-0.04495258,-0.04495258,0.3301713,0.7313424,-0.07473083,False,False
6,0.1714285,-0.4407272,0.6859237,-0.9559879,-0.05749581,0.2625918,0.117588,-0.04669781,-0.4126344,0.5906554,0.9570397,-0.04789542,-0.2656111,-0.04789542,-3.34277,1.583684,6.014233,-0.929616,-0.2701389,0.2506674,-0.002274752,0.6100348,0.2348097,-0.004904157,0.6436705,-0.2626106,0.2014411,0.1380894,-0.0113155,0.5032095,-0.9296159,-0.2701389,0.2506674,-0.002274752,-3.973434,-3.973434,-3.973434,-8.808112,-4.368343,6.014892,-0.2102344,-0.2102344,-0.2102344,-0.1837775,-0.02439249,-0.1721462,-0.06584851,-0.06584851,-0.06584851,0.2421076,0.670428,0.03811266,False,False
7,0.169436,-0.4402001,0.684325,-0.9560328,-0.05627914,0.2629493,0.117012,-0.04833267,-0.4130472,0.5889,0.9576579,-0.04960447,-0.2632916,-0.04960447,-3.344102,1.584046,6.012932,-0.9301778,-0.2694771,0.2492994,-0.001062863,0.8255622,0.2137096,-0.09237529,0.8682487,-0.3659214,0.269871,0.1367575,-0.01095381,0.5019081,-0.9301778,-0.269477,0.2492994,-0.001062862,-2.25281,-2.25281,-2.25281,-10.88286,-3.90782,-4.094997,-0.201151,-0.201151,-0.201151,-0.1726754,-0.02915676,-0.1685442,-0.09630539,-0.09630539,-0.09630539,0.09452941,0.6130937,0.02039449,False,False
8,0.1675426,-0.4396596,0.6827019,-0.9560494,-0.05466296,0.2636291,0.1161085,-0.04993061,-0.4134152,0.5872064,0.9584294,-0.05052534,-0.2610165,-0.05052534,-3.345442,1.584356,6.011661,-0.9307213,-0.2689145,0.2478767,-0.0002582148,0.9401569,0.2669923,-0.1264369,0.8190247,-0.264082,0.383121,0.1354175,-0.01064413,0.5006372,-0.9307213,-0.2689145,0.2478767,-0.0002582096,-4.143316,-4.143316,-4.143316,-8.315751,-5.148978,-9.886437,-0.1921263,-0.1921263,-0.1921263,-0.1644608,-0.03238934,-0.1651323,-0.1319885,-0.1319885,-0.1319885,0.009648656,0.5691627,-0.06291879,False,False
9,0.1659138,-0.4390205,0.6809531,-0.9561926,-0.05118861,0.2644329,0.1146765,-0.0513162,-0.4137885,0.5856148,0.9592656,-0.05065202,-0.2592086,-0.05065202,-3.346706,1.584631,6.010464,-0.9315003,-0.2680692,0.2458556,0.001058087,0.9475394,0.3422621,-0.05271155,0.8666551,-0.2684644,0.427787,0.1341539,-0.01036875,0.4994401,-0.9315003,-0.2680692,0.2458557,0.001058077,-8.628008,-8.628008,-8.628008,-1.323743,-3.350475,-12.18677,-0.1785499,-0.1785499,-0.1785499,-0.1531708,-0.03614067,-0.1596187,-0.2433041,-0.2433041,-0.2433041,-0.03372242,0.5142168,-0.2149778,False,False
10,0.1642606,-0.4384014,0.6793584,-0.956238,-0.04850382,0.26529,0.1134801,-0.05271694,-0.4141794,0.584031,0.9602352,-0.05037814,-0.2569822,-0.05037814,-3.347899,1.584852,6.009292,-0.9320848,-0.2672295,0.244544,0.002134413,0.895826,0.1825785,0.2620828,0.7673039,-0.2656334,0.2402067,0.1329605,-0.01014791,0.4982685,-0.9320848,-0.2672295,0.244544,0.002134416,-2.989744,-2.989744,-2.989744,-0.6189134,-1.109275,-11.50008,-0.1695175,-0.1695175,-0.1695175,-0.1455872,-0.03946168,-0.1563488,-0.285262,-0.285262,-0.285262,-0.04426666,0.4976376,-0.3360591,False,False
