Frame,RtouchPos_X,RtouchPos_Y,RtouchPos_Z,RtouchRot_W,RtouchRot_X,RtouchRot_Y,RtouchRot_Z,LtouchPos_X,LtouchPos_Y,LtouchPos_Z,LtouchRot_W,LtouchRot_X,LtouchRot_Y,LtouchRot_Z,PlayerPos_X,PlayerPos_Y,PlayerPos_Z,PlayerRot_W,PlayerRot_X,PlayerRot_Y,PlayerRot_Z,Right_Accel_X,Right_Accel_Y,Right_Accel_Z,Left_Accel_X,Left_Accel_Y,Left_Accel_Z,Camera_Pos_X,Camera_Pos_Y,Camera_Pos_Z,Camera_Rot_W,Camera_Rot_X,Camera_Rot_Y,Camera_Rot_Z,Right_Angular_Accel_X,Right_Angular_Accel_Y,Right_Angular_Accel_Z,Left_Angular_Accel_X,Left_Angular_Accel_Y,Left_Angular_Accel_Z,Right_Vel_X,Right_Vel_Y,Right_Vel_Z,Left_Vel_X,Left_Vel_Y,Left_Vel_Z,Right_Angular_Vel_X,Right_Angular_Vel_Y,Right_Angular_Vel_Z,Left_Angular_Vel_X,Left_Angular_Vel_Y,Left_Angular_Vel_Z,Primary Hand Trigger,Secondary Hand Trigger
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-3.48086,3.146747,5.511024,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-3.48086,3.090241,5.511024,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,0.3868501,-0.5507412,0.263568,-0.9545325,-0.2074397,-0.1616066,0.1404271,0.1902829,-0.5473345,0.3574143,-0.8955469,-0.2458482,-0.3707867,-0.2458482,-3.262244,1.513238,5.709417,-0.9404404,-0.06881098,-0.3324552,0.01761927,-0.3622004,-0.2239033,0.3679281,-0.5266411,0.2647731,0.2012557,0.2186153,-0.08176139,0.1983937,-0.9404404,-0.06881098,-0.3324552,0.01761927,1.295885,1.295885,1.295885,-2.373818,-2.956965,2.341838,0.08543602,0.08543602,0.08543602,0.166849,0.02854952,-0.03126774,-0.1038865,-0.1038865,-0.1038865,0.06752704,0.8555197,-0.4223454,False,False
4,0.3950281,-0.5562012,0.2388467,-0.942439,-0.2093144,-0.2110542,0.1531425,0.2094891,-0.540059,0.3571074,-0.8824682,-0.2320133,-0.4091436,-0.2320133,-3.263516,1.512109,5.710462,-0.9406683,-0.07579652,-0.3302828,0.01764561,0.1886519,0.6428228,1.281958,-0.8714296,-0.201596,0.2448993,0.2173434,-0.08289051,0.1994383,-0.9406683,-0.07579652,-0.3302828,0.01764561,-2.684273,-2.684273,-2.684273,-2.989158,-6.325834,-1.813635,0.03800009,0.03800009,0.03800009,0.04080097,0.04733563,0.01725954,-0.01720499,-0.01720499,-0.01720499,-0.2568338,0.07799762,-0.08047567,False,False
5,0.3963642,-0.5561078,0.237204,-0.9416629,-0.2089589,-0.2150962,0.1527769,0.2104497,-0.5381575,0.3579025,-0.8840438,-0.2258324,-0.4092013,-0.2258324,-3.263833,1.5116,5.710848,-0.9410254,-0.07844749,-0.3286469,0.01756021,0.1671673,0.6717851,1.260128,-0.8517396,-0.4087463,0.1847142,0.2170269,-0.08339956,0.1998249,-0.9410254,-0.07844749,-0.3286469,0.01756022,-1.868986,-1.868986,-1.868986,-0.5523037,-6.304308,-3.25802,0.04092198,0.04092198,0.04092198,0.02192782,0.04043165,0.02219328,-0.05715449,-0.05715449,-0.05715449,-0.3082338,-0.06986848,-0.155495,False,False
6,0.397204,-0.555684,0.2368388,-0.9415632,-0.2083261,-0.216942,0.1516411,0.2105487,-0.5372412,0.3584062,-0.8855836,-0.2220336,-0.4079564,-0.2220336,-3.264492,1.510633,5.711698,-0.941616,-0.08350889,-0.325668,0.01806323,0.08138002,0.7482547,1.335454,-0.8806069,-0.3325011,0.1415303,0.2163676,-0.08436709,0.2006742,-0.9416158,-0.08350888,-0.3256679,0.01806323,-2.535913,-2.535913,-2.535913,0.3773715,-6.633013,-1.052872,0.04168368,0.04168368,0.04168368,0.01322828,0.0365775,0.02374331,-0.08510308,-0.08510308,-0.08510308,-0.3065535,-0.1331781,-0.1667339,False,False
7,0.397588,-0.5552323,0.2370004,-0.9417891,-0.207628,-0.2172949,0.150688,0.2102005,-0.5368983,0.3587297,-0.8866636,-0.2203494,-0.4065227,-0.2203494,-3.264883,1.509954,5.712191,-0.9420719,-0.08749613,-0.3232615,0.01862618,0.05915029,0.742495,1.240891,-0.9507157,-0.205128,0.2204804,0.2159771,-0.0850457,0.2011673,-0.9420719,-0.08749613,-0.3232616,0.01862618,-2.154203,-2.154203,-2.154203,0.02004884,-4.605616,3.02774,0.04171185,0.04171185,0.04171185,0.001717618,0.03307522,0.02594435,-0.1140282,-0.1140282,-0.1140282,-0.3048411,-0.1891005,-0.1406902,False,False
8,0.3980147,-0.5548178,0.2371394,-0.9419682,-0.2069792,-0.2176991,0.1498755,0.2098486,-0.5365353,0.35906,-0.8876982,-0.2187437,-0.4051257,-0.2187437,-3.265224,1.509401,5.712616,-0.9425168,-0.09156119,-0.3208126,0.01892241,0.03999412,0.71597,1.205076,-0.9234093,-0.1683753,0.1918726,0.2156358,-0.08559845,0.2015926,-0.9425167,-0.09156118,-0.3208126,0.01892241,-2.251334,-2.251334,-2.251334,-1.051799,-3.140123,5.617855,0.04189553,0.04189553,0.04189553,-0.006076804,0.03144491,0.02758715,-0.1279329,-0.1279329,-0.1279329,-0.3115389,-0.2175076,-0.09791514,False,False
9,0.398364,-0.5541511,0.2376303,-0.9424151,-0.2059562,-0.2175694,0.1486585,0.2092289,-0.5362127,0.3594462,-0.8888739,-0.2175913,-0.4031514,-0.2175913,-3.265648,1.508643,5.713185,-0.943162,-0.09516025,-0.3178174,0.01954339,-0.08477136,0.7066346,1.16323,-0.910447,-0.1021992,0.1523698,0.2152119,-0.08635636,0.2021614,-0.943162,-0.09516025,-0.3178174,0.0195434,-1.037494,-1.037494,-1.037494,-0.33858,-3.191759,6.984752,0.04058306,0.04058306,0.04058306,-0.01742622,0.02978867,0.0298202,-0.160055,-0.160055,-0.160055,-0.3111307,-0.2587112,-0.01865387,False,False
10,0.3987136,-0.5535294,0.2380719,-0.9428395,-0.2050772,-0.2172668,0.1476218,0.2086407,-0.5358862,0.3598035,-0.8899748,-0.2165409,-0.401268,-0.2165409,-3.266017,1.508004,5.713712,-0.9438998,-0.09800375,-0.3147439,0.0196158,-0.2242425,0.6818167,1.101436,-0.8695471,-0.1557968,0.05657898,0.2148425,-0.08699614,0.2026883,-0.9438998,-0.09800375,-0.3147439,0.0196158,-1.331363,-1.331363,-1.331363,0.7251065,-2.794552,7.224313,0.03903769,0.03903769,0.03903769,-0.02462484,0.0286935,0.03062587,-0.1718564,-0.1718564,-0.1718564,-0.3055007,-0.2810935,0.03688896,False,False
