Frame,RtouchPos_X,RtouchPos_Y,RtouchPos_Z,RtouchRot_W,RtouchRot_X,RtouchRot_Y,RtouchRot_Z,LtouchPos_X,LtouchPos_Y,LtouchPos_Z,LtouchRot_W,LtouchRot_X,LtouchRot_Y,LtouchRot_Z,PlayerPos_X,PlayerPos_Y,PlayerPos_Z,PlayerRot_W,PlayerRot_X,PlayerRot_Y,PlayerRot_Z,Right_Accel_X,Right_Accel_Y,Right_Accel_Z,Left_Accel_X,Left_Accel_Y,Left_Accel_Z,Camera_Pos_X,Camera_Pos_Y,Camera_Pos_Z,Camera_Rot_W,Camera_Rot_X,Camera_Rot_Y,Camera_Rot_Z,Right_Angular_Accel_X,Right_Angular_Accel_Y,Right_Angular_Accel_Z,Left_Angular_Accel_X,Left_Angular_Accel_Y,Left_Angular_Accel_Z,Right_Vel_X,Right_Vel_Y,Right_Vel_Z,Left_Vel_X,Left_Vel_Y,Left_Vel_Z,Right_Angular_Vel_X,Right_Angular_Vel_Y,Right_Angular_Vel_Z,Left_Angular_Vel_X,Left_Angular_Vel_Y,Left_Angular_Vel_Z,Primary Hand Trigger,Secondary Hand Trigger
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-3.48086,3.146747,5.511024,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-3.48086,3.090241,5.511024,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,0.2092621,-0.4090767,0.1219205,-0.892975,0.09041636,0.4400467,-0.0279181,0.1050454,-0.9392344,-0.1198832,-0.7304837,-0.6648204,0.1106622,-0.6648204,-3.244385,1.528559,5.433612,-0.9534589,0.003516096,0.2998122,-0.03188159,7.487494,-1.105599,-0.7477932,0.4115662,0.3029806,-0.4557557,0.2364747,-0.06644057,-0.07741167,-0.9534589,0.003516095,0.2998122,-0.03188159,-36.73999,-36.73999,-36.73999,-7.249702,2.457782,-9.454921,0.09736685,0.09736685,0.09736685,-0.0175915,-0.00906564,-0.05834514,6.21272,6.21272,6.21272,-0.01919131,-0.04392754,0.1025358,False,False
4,0.2873569,-0.6958144,0.1248069,-0.8382643,-0.317394,0.3911864,-0.2086798,0.1029944,-0.939208,-0.1265353,-0.7471009,-0.6533105,0.07848416,-0.6533105,-3.245878,1.528567,5.434475,-0.9543732,0.003429175,0.2970849,-0.03001148,0.1445974,5.928219,0.3626138,0.5622075,-0.01882893,0.149163,0.2349818,-0.06643263,-0.07654845,-0.9543732,0.003429174,0.2970849,-0.03001148,-31.33819,-31.33819,-31.33819,-6.126521,-0.4757403,-8.419757,0.6734719,0.6734719,0.6734719,-0.02257571,-0.0007411435,-0.02341909,4.489517,4.489517,4.489517,-0.1981817,0.4149518,-0.08007255,False,False
5,0.3122584,-0.7451239,0.1182481,-0.8141758,-0.3776597,0.3722228,-0.2365187,0.1026113,-0.939198,-0.1266749,-0.7509894,-0.6501462,0.07020689,-0.6501462,-3.246095,1.528583,5.434723,-0.9548271,0.00344247,0.295617,-0.03007025,-0.8282139,6.59596,1.49481,0.3143401,0.1118052,0.4286386,0.2347644,-0.06641741,-0.07630052,-0.9548271,0.00344247,0.295617,-0.03007025,-57.47992,-57.47992,-57.47992,-1.048464,-2.274705,0.8628195,0.6661505,0.6661505,0.6661505,-0.01175814,0.001481892,-0.01284209,3.402343,3.402343,3.402343,-0.2948116,0.3901915,-0.1547898,False,False
6,0.3262611,-0.7706637,0.114873,-0.8040065,-0.4040882,0.3596312,-0.2468841,0.1024951,-0.9391611,-0.1267104,-0.7530276,-0.6484537,0.06596173,-0.6484537,-3.246634,1.528578,5.435268,-0.9556653,0.003749547,0.2929699,-0.02930186,-1.242511,5.827088,1.286101,0.1998746,0.237083,0.4346397,0.2342255,-0.06642219,-0.07575566,-0.9556652,0.003749546,0.2929699,-0.02930186,-50.53499,-50.53499,-50.53499,3.603373,-0.9710999,4.139121,0.6596103,0.6596103,0.6596103,-0.01023445,0.002829922,-0.00962331,3.10471,3.10471,3.10471,-0.2735359,0.3839404,-0.1302114,False,False
7,0.3329077,-0.7812485,0.1135649,-0.801465,-0.4138895,0.3517279,-0.2502739,0.1024249,-0.9390124,-0.1265012,-0.7533296,-0.6484553,0.06507275,-0.6484553,-3.246836,1.528632,5.435566,-0.9561927,0.003783249,0.291301,-0.02872346,-1.072446,4.493599,0.7490837,0.0698363,0.2645881,0.4153971,0.2340242,-0.06636783,-0.07545774,-0.9561927,0.003783249,0.291301,-0.02872346,-12.58601,-12.58601,-12.58601,6.032649,-0.7015223,8.332128,0.6459183,0.6459183,0.6459183,-0.008969066,0.006282606,-0.003273404,2.849374,2.849374,2.849374,-0.2044174,0.3737183,-0.04900157,False,False
8,0.3395103,-0.7919094,0.1121268,-0.7971784,-0.4250232,0.343024,-0.2572865,0.1023473,-0.9388224,-0.1262704,-0.7537907,-0.6483009,0.06437052,-0.6483009,-3.246978,1.528756,5.43584,-0.9568191,0.003222022,0.2892362,-0.02879567,-0.7891822,4.029612,0.3579313,0.1097647,0.3436971,0.4087815,0.2338814,-0.06624406,-0.07518359,-0.9568191,0.003222022,0.2892362,-0.02879567,-0.4790325,-0.4790325,-0.4790325,3.677917,0.08183236,8.770032,0.6378294,0.6378294,0.6378294,-0.00804301,0.009860104,0.002158074,2.826461,2.826461,2.826461,-0.1640385,0.3730713,0.03231949,False,False
9,0.345865,-0.8018084,0.1106564,-0.7924335,-0.4354087,0.3338423,-0.2664914,0.1023272,-0.9385564,-0.1259782,-0.75415,-0.6482641,0.06395318,-0.6482641,-3.247124,1.528805,5.436144,-0.9574264,0.003139625,0.2872579,-0.0284229,-1.145995,4.072646,0.1997215,0.3050144,0.3520791,0.3997678,0.2337352,-0.06619462,-0.07487968,-0.9574264,0.003139625,0.2872578,-0.0284229,1.574623,1.574623,1.574623,3.142014,-0.1184187,6.236759,0.6265641,0.6265641,0.6265641,-0.00547465,0.01423516,0.007679868,2.833681,2.833681,2.833681,-0.1247204,0.371343,0.1093558,False,False
10,0.3520034,-0.8111368,0.109275,-0.7868944,-0.4470333,0.3249532,-0.2745252,0.1024263,-0.9382144,-0.1256794,-0.7547654,-0.6478823,0.06288906,-0.6478823,-3.24721,1.528875,5.436467,-0.9579525,0.003113871,0.2854978,-0.02843123,-1.383782,4.345407,0.2907566,0.3922148,0.3700291,0.1939044,0.2336495,-0.06612484,-0.07455686,-0.9579525,0.003113872,0.2854978,-0.02843123,2.416352,2.416352,2.416352,-0.02302989,-0.9597136,-1.220298,0.611988,0.611988,0.611988,-0.001145082,0.019216,0.01155167,2.878935,2.878935,2.878935,-0.1236453,0.3671301,0.1157827,False,False
