Frame,RtouchPos_X,RtouchPos_Y,RtouchPos_Z,RtouchRot_W,RtouchRot_X,RtouchRot_Y,RtouchRot_Z,LtouchPos_X,LtouchPos_Y,LtouchPos_Z,LtouchRot_W,LtouchRot_X,LtouchRot_Y,LtouchRot_Z,PlayerPos_X,PlayerPos_Y,PlayerPos_Z,PlayerRot_W,PlayerRot_X,PlayerRot_Y,PlayerRot_Z,Right_Accel_X,Right_Accel_Y,Right_Accel_Z,Left_Accel_X,Left_Accel_Y,Left_Accel_Z,Camera_Pos_X,Camera_Pos_Y,Camera_Pos_Z,Camera_Rot_W,Camera_Rot_X,Camera_Rot_Y,Camera_Rot_Z,Right_Angular_Accel_X,Right_Angular_Accel_Y,Right_Angular_Accel_Z,Left_Angular_Accel_X,Left_Angular_Accel_Y,Left_Angular_Accel_Z,Right_Vel_X,Right_Vel_Y,Right_Vel_Z,Left_Vel_X,Left_Vel_Y,Left_Vel_Z,Right_Angular_Vel_X,Right_Angular_Vel_Y,Right_Angular_Vel_Z,Left_Angular_Vel_X,Left_Angular_Vel_Y,Left_Angular_Vel_Z,Primary Hand Trigger,Secondary Hand Trigger
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-3.48086,3.146747,5.511024,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-3.48086,3.090241,5.511024,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,0.4328448,-0.9147176,0.7040231,0.8236531,0.5590185,-0.06725153,0.06761153,0.1974812,-0.9385779,0.2811811,-0.601485,-0.6339294,0.4738385,-0.6339294,-3.193962,1.438279,5.976901,-0.8551527,-0.07981805,0.5002561,-0.1099407,0.4132818,-0.1824932,-0.9246128,-1.222903,0.2100627,1.085747,0.2868981,-0.1567207,0.4658773,-0.8551527,-0.07981805,0.500256,-0.1099407,5.168099,5.168099,5.168099,-4.397244,0.4249136,-5.646929,-0.1826279,-0.1826279,-0.1826279,0.07909677,-0.03260746,-0.1567102,-0.4050944,-0.4050944,-0.4050944,0.8957695,0.06176642,-0.6451359,False,False
4,0.4222716,-0.9117228,0.704995,0.8300154,0.554151,-0.05633688,0.02858828,0.1981616,-0.9406146,0.2734469,-0.5908779,-0.65608,0.4568073,-0.65608,-3.194547,1.43907,5.97788,-0.86061,-0.07835661,0.4918137,-0.1064426,0.5828246,-0.3277,-0.8817332,-2.507651,0.4709088,1.480044,0.2863128,-0.1559298,0.4668564,-0.8606101,-0.07835663,0.4918135,-0.1064425,-0.6102874,-0.6102874,-0.6102874,-5.237592,-2.622865,7.056708,-0.1462678,-0.1462678,-0.1462678,-0.07096907,0.002589616,-0.05848761,-0.2357104,-0.2357104,-0.2357104,0.3483636,0.01485502,-0.3549208,False,False
5,0.4172526,-0.9104884,0.7036968,0.8330868,0.5510829,-0.04723975,0.006513468,0.1939918,-0.9404271,0.2719959,-0.5875779,-0.6617976,0.4530594,-0.6617976,-3.196147,1.440825,5.979374,-0.8729905,-0.07567973,0.4717494,-0.0980449,0.7049515,-0.3773928,-0.8562071,-2.530371,0.4429193,1.601624,0.2847132,-0.1541748,0.4683508,-0.8729905,-0.07567976,0.4717492,-0.09804489,-1.512558,-1.512558,-1.512558,-6.185493,-1.996593,6.074458,-0.1358377,-0.1358377,-0.1358377,-0.1108228,0.009915447,-0.03360233,-0.2594809,-0.2594809,-0.2594809,0.2549628,-0.03971778,-0.2484912,False,False
6,0.4161282,-0.9103003,0.7030885,0.8339872,0.5500121,-0.04413487,0.002018077,0.1919982,-0.9401723,0.272119,-0.5870681,-0.6623179,0.4530626,-0.6623179,-3.19663,1.441285,5.979857,-0.876571,-0.07533169,0.4657218,-0.09514054,0.8477811,-0.5411327,-0.8161236,-2.506647,0.4194531,1.634812,0.2842296,-0.1537145,0.4688337,-0.8765711,-0.07533172,0.4657215,-0.09514052,-0.3487675,-0.3487675,-0.3487675,-6.48881,-1.085968,5.697704,-0.1277214,-0.1277214,-0.1277214,-0.135936,0.01448482,-0.01745612,-0.2668569,-0.2668569,-0.2668569,0.1922972,-0.06164689,-0.1882536,False,False
7,0.4150961,-0.9101906,0.7023696,0.834778,0.5490789,-0.04068259,-0.001724352,0.1896978,-0.9398575,0.2724596,-0.5870211,-0.6623016,0.4532419,-0.6623016,-3.197132,1.441728,5.980368,-0.880152,-0.07474147,0.459593,-0.09230714,0.8077573,-0.5598889,-0.8186916,-2.500935,0.4503561,1.739179,0.2837281,-0.1532721,0.4693438,-0.880152,-0.0747415,0.4595927,-0.09230711,1.355724,1.355724,1.355724,-8.634048,0.06968604,6.081985,-0.1193626,-0.1193626,-0.1193626,-0.16105,0.01884016,-0.0006394845,-0.2588914,-0.2588914,-0.2588914,0.1146872,-0.06446599,-0.130106,False,False
8,0.4140989,-0.9101261,0.7016022,0.8356012,0.5480509,-0.0372206,-0.005047744,0.1872423,-0.9395235,0.2729342,-0.5872036,-0.6621125,0.4534082,-0.6621125,-3.19767,1.442241,5.980912,-0.8840391,-0.07451247,0.452718,-0.08927074,0.7788875,-0.5974141,-0.8042455,-2.461807,0.3857733,1.765531,0.2831902,-0.1527584,0.4698882,-0.8840392,-0.0745125,0.4527178,-0.08927071,-0.1920619,-0.1920619,-0.1920619,-8.178198,-0.2771761,4.337343,-0.1128508,-0.1128508,-0.1128508,-0.1808502,0.02187799,0.01330755,-0.2593788,-0.2593788,-0.2593788,0.04876745,-0.06424142,-0.09665094,False,False
9,0.4132822,-0.9101948,0.7006091,0.8368664,0.5463512,-0.0332896,-0.006853336,0.1841229,-0.9390582,0.2739486,-0.5885385,-0.660848,0.453759,-0.660848,-3.1982,1.442791,5.981593,-0.888135,-0.07394329,0.4453639,-0.08602227,0.7181294,-0.4959465,-0.7302587,-2.298336,0.3255627,1.760448,0.2826595,-0.1522084,0.4705692,-0.888135,-0.07394331,0.4453636,-0.08602224,-3.910344,-3.910344,-3.910344,-9.81959,1.389907,1.739803,-0.1022659,-0.1022659,-0.1022659,-0.2137267,0.02681159,0.03796531,-0.3026525,-0.3026525,-0.3026525,-0.08948297,-0.05122717,-0.06294467,False,False
10,0.4124179,-0.9102058,0.6996474,0.8382462,0.544408,-0.02967203,-0.009096734,0.1811462,-0.9386212,0.2748796,-0.5896602,-0.6598941,0.4539039,-0.6598941,-3.198717,1.443337,5.982188,-0.8920163,-0.07339238,0.4382654,-0.08272777,0.6604688,-0.3993376,-0.7001893,-2.188827,0.3369357,1.762522,0.2821433,-0.1516624,0.471164,-0.8920165,-0.07339241,0.4382651,-0.08272776,-5.776274,-5.776274,-5.776274,-9.705135,1.855972,1.392996,-0.09665804,-0.09665804,-0.09665804,-0.2314233,0.0296482,0.0519586,-0.3471933,-0.3471933,-0.3471933,-0.1607502,-0.039436,-0.05090686,False,False
