Frame,RtouchPos_X,RtouchPos_Y,RtouchPos_Z,RtouchRot_W,RtouchRot_X,RtouchRot_Y,RtouchRot_Z,LtouchPos_X,LtouchPos_Y,LtouchPos_Z,LtouchRot_W,LtouchRot_X,LtouchRot_Y,LtouchRot_Z,PlayerPos_X,PlayerPos_Y,PlayerPos_Z,PlayerRot_W,PlayerRot_X,PlayerRot_Y,PlayerRot_Z,Right_Accel_X,Right_Accel_Y,Right_Accel_Z,Left_Accel_X,Left_Accel_Y,Left_Accel_Z,Camera_Pos_X,Camera_Pos_Y,Camera_Pos_Z,Camera_Rot_W,Camera_Rot_X,Camera_Rot_Y,Camera_Rot_Z,Right_Angular_Accel_X,Right_Angular_Accel_Y,Right_Angular_Accel_Z,Left_Angular_Accel_X,Left_Angular_Accel_Y,Left_Angular_Accel_Z,Right_Vel_X,Right_Vel_Y,Right_Vel_Z,Left_Vel_X,Left_Vel_Y,Left_Vel_Z,Right_Angular_Vel_X,Right_Angular_Vel_Y,Right_Angular_Vel_Z,Left_Angular_Vel_X,Left_Angular_Vel_Y,Left_Angular_Vel_Z,Primary Hand Trigger,Secondary Hand Trigger
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-3.48086,3.146747,5.511024,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-3.48086,3.090241,5.511024,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,0.9018841,-0.5689399,0.3215182,0.9961775,0.007436579,0.07076768,-0.05066643,0.5339762,-0.5771422,0.2585929,0.9727678,0.007200044,-0.06836745,0.007200044,-2.748007,1.449118,5.58,0.9995567,-0.009118684,-0.02234094,0.01744091,-0.01477114,-0.07303998,0.1086746,0.03606565,-0.002579742,0.07106745,0.7328532,-0.1458822,0.06897638,0.9995567,-0.009118683,-0.02234093,0.01744091,-1.505022,-1.505022,-1.505022,-1.836056,-0.2190706,-2.481427,-0.02327085,-0.02327085,-0.02327085,-0.009460211,-0.01113723,0.06033472,0.02303159,0.02303159,0.02303159,0.06049656,-0.001867229,0.01344947,False,False
4,0.9003507,-0.5697306,0.326131,0.9961898,0.008785293,0.07019305,-0.0510053,0.5334378,-0.577814,0.263085,0.9727627,0.008573622,-0.06788691,0.008573622,-2.748449,1.448923,5.582322,0.999559,-0.007783338,-0.02262212,0.01759216,0.02413377,-0.004511181,0.09696591,-0.03409802,-0.06050523,0.1568408,0.7324105,-0.1460769,0.07129806,0.999559,-0.007783337,-0.02262212,0.01759216,-0.03698386,-0.03698386,-0.03698386,-0.3541903,-0.1827481,0.5865966,-0.02327601,-0.02327601,-0.02327601,-0.01140173,-0.00652505,0.06570952,0.0475066,0.0475066,0.0475066,0.03498302,-0.001660469,0.04888952,False,False
5,0.8995227,-0.5701596,0.3287793,0.9961985,0.00954556,0.07010228,-0.0508237,0.53303,-0.5781535,0.2656731,0.972619,0.009488571,-0.06781921,0.009488571,-2.748814,1.448684,5.585903,0.999566,-0.005696149,-0.02292397,0.01761028,0.01911493,0.03410541,0.115846,0.04700621,-0.08087496,0.1308469,0.7320461,-0.1463161,0.07487977,0.999566,-0.005696148,-0.02292397,0.01761027,-0.2933061,-0.2933061,-0.2933061,-0.1416067,-0.8880545,-1.9566,-0.02275794,-0.02275794,-0.02275794,-0.01081203,-0.00834684,0.06769854,0.03678634,0.03678634,0.03678634,0.04884564,-0.01138198,0.01990193,False,False
6,0.8992603,-0.5703243,0.3296921,0.9962047,0.009823757,0.07005178,-0.0507184,0.5329126,-0.5783089,0.2666119,0.972641,0.009778454,-0.06793612,0.009778454,-2.748945,1.448577,5.587804,0.99957,-0.004409762,-0.02280923,0.01789676,0.001802476,-0.05514984,0.1002544,0.04232213,-0.1193936,0.1381476,0.7319143,-0.1464224,0.07678075,0.9995699,-0.004409762,-0.02280923,0.01789676,0.3034468,0.3034468,0.3034468,-0.636112,-1.095809,-1.880218,-0.02256843,-0.02256843,-0.02256843,-0.01036854,-0.00941528,0.0690166,0.03890002,0.03890002,0.03890002,0.04249948,-0.01785974,-0.0004415511,False,False
7,0.8990312,-0.5705109,0.3305214,0.9962054,0.01009103,0.07005029,-0.05065517,0.5327993,-0.5785121,0.2676371,0.9726728,0.01020826,-0.06817124,0.01020826,-2.748994,1.448568,5.588705,0.9995759,-0.003559488,-0.02289818,0.01764166,0.06081102,0.02509151,0.06516737,0.07722792,0.002270645,0.08672713,0.7318661,-0.1464317,0.07768109,0.9995758,-0.003559488,-0.02289817,0.01764166,0.1722012,0.1722012,0.1722012,0.1353571,-0.1712639,-1.589866,-0.0222041,-0.0222041,-0.0222041,-0.009714505,-0.01064141,0.07043532,0.03997899,0.03997899,0.03997899,0.04466733,-0.0296219,-0.01545625,False,False
8,0.898814,-0.5706315,0.3313536,0.9961883,0.01035824,0.07019616,-0.05073478,0.5327132,-0.5786568,0.2685798,0.9726802,0.01065827,-0.06822944,0.01065827,-2.749021,1.448443,5.589705,0.9995654,-0.003421621,-0.02314346,0.01794181,0.03034269,0.009368589,0.006213425,0.06711,0.03786208,0.01666174,0.7318388,-0.1465567,0.07868103,0.9995653,-0.003421621,-0.02314346,0.01794181,-0.8281439,-0.8281439,-0.8281439,1.12381,0.6883128,1.168562,-0.02164087,-0.02164087,-0.02164087,-0.008971415,-0.01049479,0.07118792,0.04112117,0.04112117,0.04112117,0.05210575,-0.02749545,-0.01440759,False,False
9,0.8986054,-0.5707243,0.3321679,0.9961805,0.01061706,0.07021646,-0.05080914,0.5326846,-0.5787593,0.2694391,0.972697,0.0110411,-0.06783596,0.0110411,-2.74913,1.448428,5.590686,0.9995704,-0.002351098,-0.02314594,0.01782883,0.002144794,0.08894465,-0.006960557,0.06653666,0.1003776,0.007351252,0.7317303,-0.1465722,0.07966275,0.9995704,-0.002351098,-0.02314594,0.01782883,0.02640258,0.02640258,0.02640258,0.6277698,2.342925,1.291149,-0.02137431,-0.02137431,-0.02137431,-0.007478014,-0.009578675,0.07128332,0.04223345,0.04223345,0.04223345,0.06052398,0.0001333066,-0.009079251,False,False
10,0.8984416,-0.5708123,0.3327863,0.9961736,0.01072418,0.0702251,-0.05091023,0.5326764,-0.578881,0.2702532,0.9726816,0.01137843,-0.06740176,0.01137843,-2.749318,1.448317,5.591772,0.9995841,-0.001595862,-0.02254299,0.01791563,-0.04492885,0.09409174,-0.0399925,0.1154607,0.02430236,0.0389006,0.7315415,-0.1466834,0.08074805,0.9995841,-0.001595862,-0.02254299,0.01791563,-0.238803,-0.238803,-0.238803,0.8348583,2.047099,0.9380156,-0.02130334,-0.02130334,-0.02130334,-0.006151742,-0.009188927,0.07145835,0.03696846,0.03696846,0.03696846,0.0657711,0.02036708,0.00269524,False,False
