Frame,RtouchPos_X,RtouchPos_Y,RtouchPos_Z,RtouchRot_W,RtouchRot_X,RtouchRot_Y,RtouchRot_Z,LtouchPos_X,LtouchPos_Y,LtouchPos_Z,LtouchRot_W,LtouchRot_X,LtouchRot_Y,LtouchRot_Z,PlayerPos_X,PlayerPos_Y,PlayerPos_Z,PlayerRot_W,PlayerRot_X,PlayerRot_Y,PlayerRot_Z,Right_Accel_X,Right_Accel_Y,Right_Accel_Z,Left_Accel_X,Left_Accel_Y,Left_Accel_Z,Camera_Pos_X,Camera_Pos_Y,Camera_Pos_Z,Camera_Rot_W,Camera_Rot_X,Camera_Rot_Y,Camera_Rot_Z,Right_Angular_Accel_X,Right_Angular_Accel_Y,Right_Angular_Accel_Z,Left_Angular_Accel_X,Left_Angular_Accel_Y,Left_Angular_Accel_Z,Right_Vel_X,Right_Vel_Y,Right_Vel_Z,Left_Vel_X,Left_Vel_Y,Left_Vel_Z,Right_Angular_Vel_X,Right_Angular_Vel_Y,Right_Angular_Vel_Z,Left_Angular_Vel_X,Left_Angular_Vel_Y,Left_Angular_Vel_Z,Primary Hand Trigger,Secondary Hand Trigger
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-3.48086,3.146747,5.511024,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-3.48086,3.090241,5.511024,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,0.446494,-0.3461804,-0.05808094,-0.8933244,-0.06088608,0.3508728,0.2741399,0.2324189,-0.3478609,-0.2098843,-0.952986,0.04177009,0.2475862,0.04177009,-2.994981,1.586284,5.271274,-0.9876769,-0.05582627,0.1376875,0.04919335,0.46427,-0.4588726,-1.528747,-0.1688685,0.3908592,-0.1575585,0.4858789,-0.008715881,-0.2397494,-0.9876769,-0.05582627,0.1376875,0.04919335,-1.958872,-1.958872,-1.958872,-1.791688,-2.047402,3.072643,0.264793,0.264793,0.264793,0.08346733,0.009549492,0.1248642,-0.9613956,-0.9613956,-0.9613956,0.1908225,0.3302304,0.4923725,False,False
4,0.4816821,-0.3227527,-0.05850681,-0.904547,-0.01661177,0.3304046,0.2689823,0.2431903,-0.3457603,-0.1931579,-0.9542799,0.0454188,0.2214868,0.0454188,-2.991663,1.592868,5.26488,-0.990732,-0.02965038,0.1278291,0.03508579,0.4544004,-1.291792,-0.2017564,0.3388645,0.1241393,-0.2094612,0.4891973,-0.002131528,-0.2461434,-0.9907318,-0.02965038,0.1278291,0.03508579,4.52748,4.52748,4.52748,-1.263664,-0.247394,-0.566631,0.2972719,0.2972719,0.2972719,0.09898455,0.04407227,0.1299025,-0.3473934,-0.3473934,-0.3473934,0.1451789,0.3241671,0.3467686,False,False
5,0.4937075,-0.3191579,-0.05983948,-0.9085511,-0.008040289,0.326845,0.2600819,0.2471262,-0.344375,-0.1880565,-0.9546427,0.04579399,0.2142271,0.04579399,-2.991075,1.594176,5.263753,-0.9911883,-0.02404715,0.1260981,0.03266353,0.5900225,-1.106023,-0.1938566,0.5476026,-0.1444331,-0.3357419,0.4897851,-0.000824396,-0.2472705,-0.9911882,-0.02404715,0.1260981,0.03266352,1.642139,1.642139,1.642139,-2.052007,3.942492,-1.765916,0.3081205,0.3081205,0.3081205,0.1080823,0.04333493,0.1244591,-0.2827566,-0.2827566,-0.2827566,0.120578,0.3739356,0.318994,False,False
6,0.5008107,-0.3175567,-0.06068866,-0.9111486,-0.00302256,0.3243313,0.2541816,0.249716,-0.3436562,-0.1851354,-0.9551226,0.04654831,0.2090578,0.04654831,-2.989862,1.596778,5.261598,-0.9920817,-0.01313334,0.1220591,0.0265141,0.9296044,-0.8332139,-0.07292626,0.6483592,-0.2705206,-0.3322906,0.490998,0.001777961,-0.2494257,-0.9920817,-0.01313335,0.1220591,0.0265141,-3.192395,-3.192395,-3.192395,-1.945619,4.732323,-2.065867,0.3166218,0.3166218,0.3166218,0.1142141,0.04043604,0.1217911,-0.2926167,-0.2926167,-0.2926167,0.1002299,0.4237239,0.295489,False,False
7,0.5047321,-0.3169496,-0.06113793,-0.9126462,0.0001451933,0.3221635,0.2515703,0.2512274,-0.3433663,-0.1837083,-0.9556613,0.04732576,0.2056289,0.04732576,-2.989291,1.598026,5.260635,-0.9924119,-0.00686983,0.1204432,0.02376812,1.202261,-0.6585801,0.07627926,0.6604282,-0.3781613,-0.3126046,0.4915687,0.003026006,-0.2503885,-0.9924119,-0.00686983,0.1204432,0.02376812,-5.573019,-5.573019,-5.573019,-1.827827,5.911351,-4.276227,0.3279053,0.3279053,0.3279053,0.121039,0.03680616,0.1193848,-0.34305,-0.34305,-0.34305,0.07771279,0.4861791,0.258059,False,False
8,0.5089642,-0.3164185,-0.06155003,-0.9142165,0.003303295,0.319112,0.2497294,0.2528814,-0.3431481,-0.1822851,-0.9563742,0.04822047,0.2019183,0.04822047,-2.988857,1.599324,5.259727,-0.9926991,-0.0003786979,0.1187275,0.02126443,1.308898,-0.5417644,0.1698883,0.6316186,-0.4157537,-0.1413774,0.4920028,0.004323591,-0.251296,-0.9926991,-0.0003786979,0.1187275,0.02126443,-4.173135,-4.173135,-4.173135,-2.21281,5.135707,-4.726426,0.3434868,0.3434868,0.3434868,0.1291887,0.03155515,0.1174631,-0.4017645,-0.4017645,-0.4017645,0.05201396,0.5495806,0.2002797,False,False
9,0.513565,-0.3159972,-0.06193272,-0.9157862,0.005848504,0.3152431,0.2488438,0.2546605,-0.3430474,-0.180792,-0.9572175,0.0488956,0.1982352,0.0488956,-2.988481,1.600589,5.258806,-0.9929511,0.006431383,0.1169248,0.01831791,1.315939,-0.5925485,0.1731491,0.5709344,-0.4959621,-0.0007433126,0.4923791,0.005589154,-0.2522175,-0.992951,0.006431382,0.1169248,0.01831791,-1.897943,-1.897943,-1.897943,-1.066437,2.329858,-6.301918,0.3649877,0.3649877,0.3649877,0.1382454,0.02421257,0.1172692,-0.4436466,-0.4436466,-0.4436466,0.03806374,0.5958636,0.1188761,False,False
10,0.5179589,-0.3155892,-0.06231207,-0.9172367,0.008203103,0.3118284,0.247735,0.2563703,-0.3429847,-0.1793323,-0.9579463,0.04942172,0.1948741,0.04942172,-2.988018,1.601739,5.257985,-0.9930847,0.01340329,0.1155875,0.01558083,1.250419,-0.6195575,0.1007311,0.4567666,-0.5773111,0.03958186,0.4928416,0.006739012,-0.2530391,-0.9930847,0.01340329,0.1155875,0.01558083,-1.369486,-1.369486,-1.369486,0.1922819,0.4878502,-3.39287,0.375287,0.375287,0.375287,0.1433014,0.01829243,0.117731,-0.454427,-0.454427,-0.454427,0.03485299,0.6062217,0.07065515,False,False
