Frame,RtouchPos_X,RtouchPos_Y,RtouchPos_Z,RtouchRot_W,RtouchRot_X,RtouchRot_Y,RtouchRot_Z,LtouchPos_X,LtouchPos_Y,LtouchPos_Z,LtouchRot_W,LtouchRot_X,LtouchRot_Y,LtouchRot_Z,PlayerPos_X,PlayerPos_Y,PlayerPos_Z,PlayerRot_W,PlayerRot_X,PlayerRot_Y,PlayerRot_Z,Right_Accel_X,Right_Accel_Y,Right_Accel_Z,Left_Accel_X,Left_Accel_Y,Left_Accel_Z,Camera_Pos_X,Camera_Pos_Y,Camera_Pos_Z,Camera_Rot_W,Camera_Rot_X,Camera_Rot_Y,Camera_Rot_Z,Right_Angular_Accel_X,Right_Angular_Accel_Y,Right_Angular_Accel_Z,Left_Angular_Accel_X,Left_Angular_Accel_Y,Left_Angular_Accel_Z,Right_Vel_X,Right_Vel_Y,Right_Vel_Z,Left_Vel_X,Left_Vel_Y,Left_Vel_Z,Right_Angular_Vel_X,Right_Angular_Vel_Y,Right_Angular_Vel_Z,Left_Angular_Vel_X,Left_Angular_Vel_Y,Left_Angular_Vel_Z,Primary Hand Trigger,Secondary Hand Trigger
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-3.48086,3.146747,5.511024,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-3.48086,3.090241,5.511024,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,0.2744494,-0.6208041,0.5183122,0.8709143,0.1387348,-0.4687202,-0.0506198,0.1662032,-0.618574,0.1918601,-0.7550635,0.0682125,0.5805351,0.0682125,-3.056518,1.442828,5.7852,0.8428802,-0.003490501,-0.5377921,0.01790059,-0.0061129,0.08539949,0.006992125,0.1057764,-0.03287906,0.0460178,0.424342,-0.1521718,0.2741767,0.8428802,-0.003490501,-0.5377921,0.01790059,-0.9106753,-0.9106753,-0.9106753,0.1139535,1.736783,2.18956,-0.00729783,-0.00729783,-0.00729783,0.013909,-0.004804903,0.0004543409,0.009713897,0.009713897,0.009713897,0.0009697588,-0.03121614,0.01758494,False,False
4,0.2740214,-0.6203822,0.5173408,0.8701549,0.1382541,-0.4703229,-0.0501266,0.1671277,-0.6191556,0.1909694,-0.7543539,0.06815008,0.5809625,0.06815008,-3.056413,1.442812,5.785108,0.843131,-0.003541152,-0.5373968,0.01795017,0.04909636,0.1241992,0.1106523,-0.03790106,-0.0573521,0.05187847,0.4244465,-0.1521875,0.2740841,0.843131,-0.003541152,-0.5373968,0.01795017,0.003485867,0.003485867,0.003485867,-0.2153507,1.191967,-0.3116919,-0.005400707,-0.005400707,-0.005400707,0.01351064,-0.009104487,0.002016806,-0.00745869,-0.00745869,-0.00745869,0.01058382,-0.04089364,-0.003890241,False,False
5,0.2738865,-0.6200389,0.5171111,0.8697851,0.138111,-0.4710284,-0.05031451,0.1675362,-0.619462,0.1907974,-0.7540286,0.0677531,0.5813592,0.0677531,-3.05621,1.442811,5.784995,0.8436508,-0.003463176,-0.536577,0.01808393,0.08988053,0.02647737,0.134688,-0.07036367,0.008260356,0.06974584,0.4246496,-0.1521894,0.2739716,0.8436506,-0.003463176,-0.5365769,0.01808392,0.001996385,0.001996385,0.001996385,0.583602,-0.6002373,0.5954751,-0.00400586,-0.00400586,-0.00400586,0.01320283,-0.009584294,0.002113376,-0.009053078,-0.009053078,-0.009053078,0.01909818,-0.044073,-0.001776304,False,False
6,0.2738643,-0.6199433,0.5170185,0.8696952,0.1380327,-0.4712082,-0.0504,0.1676787,-0.6196201,0.1906455,-0.7538908,0.06762351,0.5815074,0.06762351,-3.056127,1.442754,5.784996,0.8437777,-0.003647597,-0.5363752,0.018099,0.1058047,0.0005885749,0.07895254,-0.03379544,0.007414899,0.1109659,0.4247324,-0.1522455,0.2739724,0.8437777,-0.003647598,-0.5363752,0.018099,-0.7255188,-0.7255188,-0.7255188,0.3456169,-0.6690083,0.7889522,-0.003214747,-0.003214747,-0.003214747,0.01283301,-0.01001709,0.002229152,-0.01413625,-0.01413625,-0.01413625,0.01911012,-0.04617691,0.00143377,False,False
7,0.2738521,-0.6198705,0.516953,0.8696566,0.1379276,-0.471308,-0.05042085,0.1678132,-0.619772,0.1905488,-0.7537329,0.06750968,0.5816309,0.06750968,-3.05605,1.442726,5.784953,0.8440247,-0.003481386,-0.5359923,0.0179516,0.07625834,-0.01710635,0.1271709,-0.04130724,0.06335767,0.09997035,0.4248102,-0.152274,0.2739291,0.8440248,-0.003481386,-0.5359923,0.0179516,-0.2173226,-0.2173226,-0.2173226,0.07117094,1.248887,1.859549,-0.002476993,-0.002476993,-0.002476993,0.01243699,-0.01013535,0.002720453,-0.01781398,-0.01781398,-0.01781398,0.02335618,-0.04505987,0.01213773,False,False
8,0.273847,-0.6197872,0.516898,0.8696042,0.137795,-0.4714445,-0.05040926,0.1679147,-0.6198632,0.1904423,-0.7536455,0.06742348,0.581681,0.06742348,-3.056002,1.442726,5.784963,0.8440053,-0.003293825,-0.5360245,0.01794462,0.08325652,-0.03659084,0.1256229,-0.03390589,0.05175371,0.1233912,0.4248579,-0.1522741,0.2739393,0.8440053,-0.003293824,-0.5360245,0.01794462,-0.229573,-0.229573,-0.229573,0.2561539,1.369403,0.5383391,-0.001766562,-0.001766562,-0.001766562,0.01227205,-0.00997493,0.003290717,-0.02022362,-0.02022362,-0.02022362,0.02758718,-0.03867007,0.01641035,False,False
9,0.2738575,-0.6196762,0.5168136,0.8695582,0.1376068,-0.4715845,-0.05040845,0.1680954,-0.6200172,0.1902618,-0.7535356,0.06719019,0.5817448,0.06719019,-3.055902,1.442694,5.784941,0.8442851,-0.003200238,-0.5355861,0.01789076,0.1242825,-0.06209961,0.1533891,0.004044842,0.03058861,0.1757403,0.4249577,-0.1523062,0.273917,0.8442851,-0.003200238,-0.5355861,0.01789076,0.1577781,0.1577781,0.1577781,0.747983,-0.05647475,-0.9715595,-0.0003113016,-0.0003113016,-0.0003113016,0.01225874,-0.009299519,0.004739538,-0.02257008,-0.02257008,-0.02257008,0.03501454,-0.03234034,0.009953189,False,False
10,0.273872,-0.6196218,0.5167863,0.8695307,0.1375073,-0.471662,-0.05043032,0.1681863,-0.6201076,0.190194,-0.753475,0.06706471,0.5817999,0.06706471,-3.055827,1.442676,5.784914,0.8445037,-0.003019795,-0.5352452,0.01780448,0.08995791,-0.04855803,0.1616524,-0.1015373,0.134654,0.1733168,0.4250323,-0.1523242,0.2738907,0.8445037,-0.003019795,-0.5352452,0.01780448,-0.6583235,-0.6583235,-0.6583235,-0.4788495,-0.4048327,-0.5704411,0.0005407954,0.0005407954,0.0005407954,0.01190667,-0.00896107,0.005824644,-0.02340165,-0.02340165,-0.02340165,0.03288952,-0.03236217,0.005673126,False,False
