Frame,RtouchPos_X,RtouchPos_Y,RtouchPos_Z,RtouchRot_W,RtouchRot_X,RtouchRot_Y,RtouchRot_Z,LtouchPos_X,LtouchPos_Y,LtouchPos_Z,LtouchRot_W,LtouchRot_X,LtouchRot_Y,LtouchRot_Z,PlayerPos_X,PlayerPos_Y,PlayerPos_Z,PlayerRot_W,PlayerRot_X,PlayerRot_Y,PlayerRot_Z,Right_Accel_X,Right_Accel_Y,Right_Accel_Z,Left_Accel_X,Left_Accel_Y,Left_Accel_Z,Camera_Pos_X,Camera_Pos_Y,Camera_Pos_Z,Camera_Rot_W,Camera_Rot_X,Camera_Rot_Y,Camera_Rot_Z,Right_Angular_Accel_X,Right_Angular_Accel_Y,Right_Angular_Accel_Z,Left_Angular_Accel_X,Left_Angular_Accel_Y,Left_Angular_Accel_Z,Right_Vel_X,Right_Vel_Y,Right_Vel_Z,Left_Vel_X,Left_Vel_Y,Left_Vel_Z,Right_Angular_Vel_X,Right_Angular_Vel_Y,Right_Angular_Vel_Z,Left_Angular_Vel_X,Left_Angular_Vel_Y,Left_Angular_Vel_Z,Primary Hand Trigger,Secondary Hand Trigger
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-3.48086,3.146747,5.511024,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-3.48086,3.090241,5.511024,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,0.1631565,-0.542527,0.3003608,-0.8292431,-0.3779941,0.3431143,0.2274837,0.001439274,-0.5435058,0.2171687,-0.9412627,-0.2185988,-0.02673442,-0.2185988,-3.376753,1.467312,5.684631,-0.9544963,-0.2504085,0.1528389,-0.05360033,-0.2976741,0.5841913,0.576264,-0.2331733,0.8795877,0.03324367,0.1041068,-0.1276878,0.173608,-0.9544961,-0.2504085,0.1528388,-0.05360033,-2.152496,-2.152496,-2.152496,-4.203355,0.8181198,2.678119,0.07313597,0.07313597,0.07313597,0.08578271,0.02054145,0.0794502,-0.05351947,-0.05351947,-0.05351947,0.01779542,0.1135515,-0.2391308,False,False
4,0.1721095,-0.5358144,0.3090509,-0.8297558,-0.3671564,0.3495805,0.2334417,0.01275549,-0.5349485,0.2278514,-0.9484329,-0.2046249,-0.03187335,-0.2046249,-3.375508,1.468919,5.684616,-0.955165,-0.2441359,0.1590574,-0.05251944,-0.2536462,0.09318861,0.1890217,-0.09140576,-0.3545925,-0.05086597,0.105352,-0.126081,0.1735921,-0.955165,-0.2441359,0.1590574,-0.05251944,-0.7307059,-0.7307059,-0.7307059,0.3559963,-2.467089,-1.655082,0.04431989,0.04431989,0.04431989,0.07245637,0.054428,0.0622742,-0.1298348,-0.1298348,-0.1298348,-0.2768824,-0.02096131,-0.3457062,False,False
5,0.1739373,-0.5335071,0.3133146,-0.8306041,-0.3617483,0.3544212,0.2315612,0.01578559,-0.5323457,0.2305297,-0.9515477,-0.1990295,-0.03080759,-0.1990295,-3.373136,1.471849,5.684597,-0.9560528,-0.2315881,0.1725984,-0.05039782,-0.1816495,-0.05691807,0.2577383,-0.1053035,-0.3395552,-0.01159823,0.1077239,-0.1231504,0.173573,-0.9560527,-0.2315881,0.1725984,-0.05039781,0.4753019,0.4753019,0.4753019,-0.1736707,-1.782122,-0.5988966,0.04046466,0.04046466,0.04046466,0.07014877,0.04830768,0.06194015,-0.1376369,-0.1376369,-0.1376369,-0.27243,-0.06686558,-0.36771,False,False
6,0.1743571,-0.5329207,0.3144965,-0.8308178,-0.3604028,0.3557592,0.23084,0.01649724,-0.5317977,0.2312199,-0.9523308,-0.1976288,-0.03031684,-0.1976288,-3.372433,1.472677,5.684523,-0.9559103,-0.2292112,0.1766166,-0.05004223,-0.1395169,-0.02388935,0.2695158,-0.1589616,-0.3374132,0.04626818,0.1084266,-0.1223228,0.1734996,-0.9559103,-0.2292112,0.1766166,-0.05004223,1.299799,1.299799,1.299799,-1.154858,-0.3157907,0.748026,0.03924235,0.03924235,0.03924235,0.06868278,0.04504639,0.06228337,-0.1281939,-0.1281939,-0.1281939,-0.2740559,-0.07631507,-0.3650492,False,False
7,0.1747493,-0.5323352,0.315715,-0.8310029,-0.3591376,0.3573595,0.2296705,0.01713878,-0.5313241,0.2319343,-0.9530319,-0.1963184,-0.0295624,-0.1963184,-3.371774,1.473386,5.684453,-0.955978,-0.2261936,0.1802467,-0.04953629,-0.1228789,0.03184957,0.2661752,-0.2770343,-0.2988682,0.1941416,0.1090859,-0.1216141,0.1734296,-0.9559779,-0.2261935,0.1802467,-0.04953628,2.4605,2.4605,2.4605,0.4155881,-2.15392,2.107211,0.03778726,0.03778726,0.03778726,0.06579168,0.04123565,0.06384896,-0.102998,-0.102998,-0.102998,-0.2722688,-0.09692629,-0.3425429,False,False
8,0.1751532,-0.5317212,0.3169393,-0.8312071,-0.3577976,0.3589647,0.2285171,0.01774454,-0.5308526,0.2326766,-0.9535587,-0.1952843,-0.02853638,-0.1952843,-3.371089,1.474194,5.68442,-0.9558754,-0.2236958,0.1838618,-0.04957124,-0.03778733,0.06185388,0.2956193,-0.3447742,-0.2531424,0.2966313,0.1097708,-0.1208061,0.1733965,-0.9558754,-0.2236958,0.1838618,-0.04957124,1.158603,1.158603,1.158603,2.126821,-3.58287,5.990561,0.03742589,0.03742589,0.03742589,0.06309544,0.03920741,0.06593047,-0.09257785,-0.09257785,-0.09257785,-0.2581085,-0.1229112,-0.2945868,False,False
9,0.1755629,-0.5310679,0.3182306,-0.8317004,-0.3561856,0.3602977,0.2271383,0.01822445,-0.5304729,0.2334742,-0.9537479,-0.1947326,-0.02686241,-0.1947326,-3.370306,1.475082,5.684464,-0.9558269,-0.2206335,0.187889,-0.0491278,0.06630629,0.06090071,0.3332526,-0.4007962,-0.1997493,0.2690847,0.1105537,-0.1199182,0.1734405,-0.9558269,-0.2206335,0.187889,-0.0491278,-0.5182595,-0.5182595,-0.5182595,2.24327,-3.53377,9.041709,0.03749019,0.03749019,0.03749019,0.05820256,0.03647392,0.0695467,-0.1045154,-0.1045154,-0.1045154,-0.2296726,-0.1680979,-0.1923373,False,False
10,0.1760012,-0.5303928,0.3195567,-0.8321937,-0.3547521,0.3614255,0.2257795,0.01868153,-0.5300927,0.2342592,-0.9538926,-0.1940586,-0.02505692,-0.1940586,-3.369563,1.47588,5.684573,-0.9559191,-0.2169927,0.1916169,-0.04915244,0.120012,0.1456237,0.3179682,-0.3495778,-0.1660112,0.2201044,0.1112965,-0.1191202,0.1735493,-0.955919,-0.2169927,0.1916169,-0.04915244,0.2177788,0.2177788,0.2177788,0.135883,-3.566713,8.584176,0.03845752,0.03845752,0.03845752,0.05433248,0.03494323,0.07187813,-0.1067368,-0.1067368,-0.1067368,-0.2193252,-0.2017099,-0.1055922,False,False
